id,texte
1,"J'ai envoyé 1 200 emails froids en septembre. 4,1 % de réponses, 11 rendez-vous. Ce qui a changé par rapport à août : un seul objet, une seule phrase de contexte, zéro pièce jointe."
2,"J'ai fait tourner Jev, le modèle de TypeSafe, sur 5 000 intitulés LinkedIn. 80 % d'accord avec GPT-4o mini pour 0,17 $. Le détail du test en commentaire."
3,Trois ans que je poste tous les jours. Le seul format qui a doublé mes impressions : une phrase par ligne et un chiffre dans la première.
4,On a recruté notre premier SDR en juin. Erreur numéro un : lui donner une liste avant de lui donner un script. Il a mis 8 semaines à booker son premier rendez-vous.
5,On a divisé notre prix par deux et doublé notre chiffre d'affaires. Les ETI nous ignoraient. Les PME de 20 à 50 personnes signent en deux appels.
6,"Il y a un an je fermais ma boîte. Aujourd'hui je signe mon dixième client. Pas de leçon, juste envie de le dire."
7,"Ravi d'annoncer que je serai au salon SME Expo le 14 octobre, stand B12. Venez discuter !"
8,Un agent IA qui lit chaque réponse de campagne et la range dans le bon pipeline : voilà ce qu'on a construit ce mois-ci. Résultat : plus aucune relance oubliée sur 400 conversations.
9,Bravo à toute l'équipe de Nuvola pour cette levée de 4 M€ ! Fier d'avoir été là au début.
10,"Votre ICP tient sur une ligne ou sur une page ? Si c'est une page, vos commerciaux ne l'ont jamais lue."
