id,titre,entreprise,secteur,effectif,localisation
1,Directeur commercial,Nuvola,Édition de logiciels,20 à 49,"Lyon, France"
2,Stagiaire marketing,Groupe Aléa,Assurance,201 à 500,"Paris, France"
3,CEO,Vertigo Robotics,Automatisation industrielle,11 à 50,"Nantes, France"
4,Head of Sales,Bellune Textile,Textile,51 à 200,"Roubaix, France"
5,Gérante,Boulangerie Martin,Commerce de détail alimentaire,2 à 10,"Lille, France"
6,Directeur des ressources humaines,Lumen Énergie,Énergies renouvelables,51 à 200,"Toulouse, France"
7,Coach de dirigeants | Fondatrice Atelier Maud Coaching,Atelier Maud Coaching,Formation et coaching,1,"Annecy, France"
8,VP Sales Europe,PayFit,Logiciels,501 à 1 000,"Paris, France"
9,Fondateur,Corvus Avocats,Services juridiques,11 à 50,"Bordeaux, France"
10,Country Manager France,Martin Technologies,Services informatiques,non renseigné,"Genève, Suisse"
