id,nom,description,site_web
1,Nuvola,"Plateforme SaaS qui aide les PME industrielles à vendre à l'export : catalogue multilingue, devis et suivi des distributeurs.",nuvola.fr
2,Corvus Avocats,"Cabinet d'avocats d'affaires à Bordeaux : droit des sociétés, fusions-acquisitions, contentieux commercial.",corvus-avocats.fr
3,Bellune Textile,"Tissage et ennoblissement de tissus techniques pour l'automobile et le mobilier, fondée en 1921 à Roubaix.",bellune-textile.fr
4,Atelier Maud,"Bijoux en argent faits main, vendus en boutique à Annecy et en ligne.",ateliermaud.fr
5,Groupe Aléa,"Courtier en assurance pour les entreprises depuis 1987 : flotte, responsabilité civile, prévoyance collective.",groupe-alea.fr
6,Lumen Énergie,"Producteur d'électricité solaire pour les sites industriels, conception et exploitation de centrales en toiture.",lumen-energie.fr
7,Vertigo Robotics,Concepteur et fabricant de robots de tri pour les entrepôts logistiques.,vertigo-robotics.com
8,Habitat Rive Gauche,Promoteur immobilier à Toulouse : programmes neufs de logements et de bureaux.,habitat-rivegauche.fr
9,Clinique des Cèdres,"Clinique privée de chirurgie ambulatoire à Grenoble, 40 praticiens.",clinique-cedres.fr
10,Martin Technologies,"ESN spécialisée dans le cloud et l'infogérance pour les ETI, 320 consultants.",martin-technologies.fr
