id,type_signal,entreprise,texte,score,score_niveau,score_confidence,score_p_0,score_p_1,score_p_2,score_p_3,score_legende,a_verifier
1,offre d'emploi,Nuvola,"Nous recrutons notre premier SDR pour structurer la prospection sortante et alimenter nos deux account executives. Stack : HubSpot, lemlist, LinkedIn Sales Navigator.",2.96,3,0.96,0.0,0.01,0.02,0.97,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",0
2,offre d'emploi,Bellune Textile,"Comptable général H/F, CDI, Roubaix. Tenue de la comptabilité, déclarations fiscales.",0.52,1,0.51,0.48,0.52,0.0,0.0,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",1
3,post LinkedIn,Vertigo Robotics,Fiers d'annoncer notre levée de 4 M€ pour accélérer notre déploiement commercial en Europe : nous ouvrons des bureaux à Munich et recrutons une équipe sales.,2.48,2,0.51,0.0,0.0,0.51,0.49,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",1
4,post LinkedIn,Lumen Énergie,Belle journée d'équipe hier au bord du lac. Merci à tous !,0.0,0,1.0,1.0,0.0,0.0,0.0,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",0
5,offre d'emploi,Groupe Aléa,"Head of Growth : vous construirez de zéro notre machine d'acquisition B2B (outbound, partenariats, contenu) et piloterez un budget de 300 k€.",2.95,3,0.95,0.0,0.01,0.02,0.97,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",0
6,post LinkedIn,Corvus Avocats,Nous cherchons un prestataire pour nous aider à prospecter les directions juridiques des ETI. Recommandations bienvenues en commentaire.,2.97,3,0.97,0.0,0.0,0.01,0.99,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",0
7,post LinkedIn,Atelier Maud,"Nouvelle collection automne, rendez-vous à la boutique samedi.",0.4,0,0.6,0.63,0.35,0.02,0.0,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",1
8,offre d'emploi,PayFit,"Ingénieur DevOps senior, Paris ou remote. Kubernetes, Terraform.",0.29,0,0.71,0.72,0.28,0.0,0.0,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",0
9,post LinkedIn,Martin Technologies,On a changé de CRM ce mois-ci pour passer sur Attio et on branche un séquenceur derrière. Objectif : 3x de rendez-vous sortants d'ici décembre.,2.95,3,0.95,0.0,0.01,0.03,0.96,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",0
10,post LinkedIn,Boulangerie Martin,On aimerait bien avoir plus de clients le lundi matin.,1.85,2,0.84,0.0,0.15,0.85,0.0,"0: 0, no signal: the text is unrelated to sales, growth or customer acquisition. | 1: 1, weak: generic growth talk, a hire far from sales (finance, ops), or a signal older than six months. | 2: 2, medium: a first sales or marketing hire, a fundraise mentioning commercial expansion, a post about wanting more clients without a concrete step. | 3: 3, strong: hiring an SDR, BDR, Head of Sales or growth lead, a stated outbound or lead generation project, a tool change (CRM, sequencer) or an explicit call for a prospecting provider.",0
