id,linkedin_headline,about,activite_recente
1,CEO @ Nuvola,On aide les PME industrielles à vendre à l'export.,"Post du 12 septembre 2026 : 'On vient de recruter notre premier SDR, si vous avez des conseils de ramp-up je prends.'"
2,Directeur commercial chez Groupe Aléa,Courtier en assurance pour les entreprises depuis 1987.,Aucun post ni commentaire trouvé sur les 12 derniers mois.
3,"Gérant, Menuiserie Bertrand & Fils",Profil sans présentation.,Aucune activité trouvée.
4,Head of Growth chez Vertigo Robotics,J'aime les chiffres et les robots.,"Commentaire du 3 septembre 2026 sous un post sur les séquenceurs : 'On a testé lemlist et La Growth Machine, les deux nous ont déçus sur la délivrabilité.'"
5,"Managing Partner, Corvus Avocats",Cabinet d'avocats d'affaires à Bordeaux.,"Post du 20 août 2026 : photo de vacances en Corse, 'ressourcé pour la rentrée'."
6,"Directrice marketing, Bellune Textile",Textile technique depuis 1921.,Levée de fonds de 3 M€ annoncée le 15 juin 2026 pour ouvrir l'Allemagne (communiqué de presse repris sur LinkedIn).
7,"Fondatrice, Atelier Maud",Bijoux en argent faits main.,Post du 10 mars 2025 : ouverture de la boutique d'Annecy. Rien depuis.
8,"Directeur général, Lumen Énergie",Producteur d'électricité solaire pour les industriels.,"Nommé directeur général le 1er septembre 2026 (annonce LinkedIn), après quatre ans comme directeur des opérations."
9,Consultant SEO indépendant,J'aide les PME à être visibles sur Google.,Post du 18 septembre 2026 : 'Combien d'entre vous ont un CRM à jour ? Sondage.'
10,CEO chez Martin Technologies,"ESN cloud, 320 personnes.","Repost sans commentaire d'un article des Échos sur l'IA dans les ESN, le 5 septembre 2026."
