id,annonceur,texte_annonce,bouton
1,Propulse Leads,"30 rendez-vous qualifiés par mois, ou on vous rembourse. Réservez votre audit gratuit de 20 minutes.",Réserver un appel
2,Nuvola,"Depuis 2019, on aide 400 PME industrielles à vendre à l'export. Notre histoire commence dans un atelier de Villeurbanne.",En savoir plus
3,Salesflow Agency,"Le guide 2026 de la prospection multicanale : 42 pages, 12 séquences qui marchent, gratuit.",Télécharger le guide
4,Groupe Aléa,Clients Aléa : votre nouvel espace en ligne est ouvert. Déclarez un sinistre en 3 clics.,Accéder à mon espace
5,Vertigo Robotics,Nous recrutons 12 ingénieurs à Nantes en 2026. Rejoignez l'équipe qui automatise la logistique.,Voir les postes
6,Martin Technologies,Webinaire le 9 octobre : migrer son infrastructure vers le cloud sans coupure. Avec deux DSI clients en témoignage.,S'inscrire
7,Lumen Énergie,Le soleil ne facture rien.,Découvrir
8,Pipedrive France,"Essai gratuit 14 jours, sans carte bancaire. Le CRM préféré des PME.",Commencer l'essai
9,Bellune Textile,"Parrainez un confrère, recevez 500 € sur votre prochaine commande.",Parrainer
10,Corvus Avocats,Corvus.,Ouvrir
