id,post_sujet,auteur_headline,fil,interet,interet_niveau,interet_confidence,interet_p_0,interet_p_1,interet_p_2,interet_p_3,interet_legende,a_verifier
1,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,CEO @ Nuvola,"On est exactement là. 2 commerciaux, aucun SDR, et on hésite entre recruter et externaliser. Comment vous choisiriez à notre taille ?",2.93,3,0.93,0.01,0.01,0.03,0.95,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",0
2,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Étudiant en école de commerce,Super post 🔥,0.66,1,0.65,0.34,0.66,0.0,0.0,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",1
3,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Consultant outbound indépendant,"Totalement d'accord, je le dis à mes clients depuis des années. D'ailleurs j'ai écrit un guide complet là-dessus, lien en commentaire.",0.18,0,0.82,0.84,0.15,0.01,0.0,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",0
4,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,"Directrice commerciale, Groupe Aléa","Chez nous on a fait le calcul : 62 k€ chargés la première année pour 8 rendez-vous par mois. On garde le poste, mais la montée en charge a été plus longue que prévu.
Nous : Merci Claire, 8 rendez-vous par mois c'est plutôt dans le haut. Vous mesurez le coût par rendez-vous qualifié ?
Claire : Oui, autour de 650 €, on vise 450 d'ici mars.",2.4,3,0.4,0.07,0.05,0.28,0.6,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",1
5,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Product Manager,@Julien regarde ça,1.1,1,0.57,0.16,0.62,0.17,0.05,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",1
6,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Head of Sales @ Vertigo Robotics,"Question bête : vous comptez les outils dans le coût ? Chez nous Sales Navigator plus le séquenceur, ça fait 400 € par mois et par tête.",2.38,2,0.55,0.01,0.01,0.56,0.42,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",1
7,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,"Gérant, Menuiserie Bertrand & Fils","Merci, très clair.
Nous : Avec plaisir !
Gérant : 👍",0.22,0,0.78,0.85,0.09,0.05,0.01,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",0
8,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Freelance growth,Vous avez une source pour le chiffre de 45 k€ ? Ça me paraît bas pour Paris.,2.31,2,0.56,0.01,0.04,0.58,0.37,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",1
9,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,"Fondateur, Corvus Avocats","Je reste sceptique. Un SDR interne connaît le cabinet, une agence non. J'ai eu deux mauvaises expériences avec des prestataires.",2.73,3,0.73,0.01,0.01,0.24,0.74,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",0
10,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,"Responsable marketing, Lumen Énergie","Très intéressant, je transmets à mon DG qui se pose justement la question.",1.8,2,0.4,0.02,0.35,0.43,0.2,"0: 0, ignore: spam, self-promotion, an emoji or a one-word reaction, an off-topic remark, or a thread already closed by our reply and acknowledged by the author. | 1: 1, thank: generic praise or agreement, a tag of someone else, or a question already answered in the thread, from a person who is not a target. | 2: 2, reply today: a target reader gives an opinion, shares an experience or asks a general question that our answer could turn into a conversation, or a non-target asks a precise question that other readers will read. | 3: 3, reply now: a target reader describes their own situation or problem, asks us a direct question, disagrees with an argument, or asks how to work with us, and the thread is still open on their last message.",1
