id,linkedin_headline,about,postes_actuels,postes_passes
1,CEO & Co-Founder @ Nuvola,"On aide les PME industrielles à vendre à l'export grâce à une plateforme de mise en relation avec des distributeurs. 35 personnes à Lyon, 400 clients.","CEO et co-fondateur, Nuvola (2021 à aujourd'hui)","Directeur commercial, Groupe Aléa (2016 à 2021) ; Ingénieur d'affaires, Martin Technologies (2012 à 2016)"
2,Head of Sales | Vertigo Robotics,"Je pilote l'équipe commerciale de Vertigo Robotics : 6 account executives, 2 SDR, marché européen de la logistique.","Head of Sales, Vertigo Robotics (2023 à aujourd'hui)","Account Executive, PayFit (2019 à 2023) ; SDR, Spendesk (2018 à 2019)"
3,Head of Sales | J'aide les scale-ups à structurer leur outbound,"Ex Head of Sales chez Vertigo Robotics, j'accompagne aujourd'hui les fondateurs de scale-ups pour construire leur machine outbound. Freelance, missions de 3 mois.",Consultant outbound indépendant (2025 à aujourd'hui),"Head of Sales, Vertigo Robotics (2021 à 2025) ; Account Executive, Qonto (2018 à 2021)"
4,Business Developer @ Lumen Énergie,Je prospecte les industriels du Sud-Ouest pour leurs projets solaires en autoconsommation.,"Business Developer, Lumen Énergie (2024 à aujourd'hui)","Chargé de clientèle professionnels, Banque Populaire Occitane (2021 à 2024)"
5,Directrice marketing | Groupe Aléa,"Marketing B2B pour un courtier en assurance des entreprises : contenu, événements, génération de leads entrants pour les 40 chargés d'affaires.","Directrice marketing, Groupe Aléa (2020 à aujourd'hui)","Responsable communication, Bellune Textile (2015 à 2020)"
6,DAF | Bellune Textile,Direction administrative et financière d'une PME textile de 120 personnes à Roubaix.,"Directeur administratif et financier, Bellune Textile (2018 à aujourd'hui)","Contrôleur de gestion, Décathlon (2010 à 2018)"
7,"Gérant, Menuiserie Bertrand & Fils","Menuiserie sur mesure pour les particuliers depuis 1962. Atelier à Angers, 12 compagnons.","Gérant, Menuiserie Bertrand & Fils (2009 à aujourd'hui)","Compagnon menuisier, Menuiserie Bertrand & Fils (1998 à 2009)"
8,Directeur commercial chez Martin Technologies,"ESN de 600 personnes. Je dirige la BU secteur public : 40 commerciaux, 90 M€ de chiffre d'affaires.","Directeur commercial BU secteur public, Martin Technologies (2022 à aujourd'hui)","Directeur régional, Sopra Steria (2014 à 2022)"
9,Étudiant en Master Management | En recherche d'alternance,"Passionné par la vente B2B, je cherche une alternance de business developer à partir de septembre.","Étudiant, ESSCA Angers (2024 à aujourd'hui)","Stagiaire commercial, Atelier Maud (été 2025)"
10,Co-fondatrice | Corvus Avocats,"Cabinet d'avocats d'affaires à Bordeaux, 14 avocats, droit des sociétés et des contrats pour les PME et ETI.","Associée co-fondatrice, Corvus Avocats (2017 à aujourd'hui)","Avocate collaboratrice, Fidal (2011 à 2017)"
