id,sirene_denomination,sirene_activite,sirene_commune,sirene_effectif,linkedin_company_name,linkedin_industry,linkedin_location,linkedin_headcount,linkedin_description
1,NUVOLA SAS,Conseil en systèmes et logiciels informatiques,LYON,20 à 49 salariés,Nuvola,Software Development,"Lyon, France",11-50,Nuvola aide les PME industrielles à vendre à l'export grâce à sa plateforme.
2,BOULANGERIE MARTIN,Boulangerie et boulangerie-pâtisserie,LILLE,3 à 5 salariés,Martin Technologies,IT Services,"Paris, France",51-200,ESN spécialisée dans le cloud.
3,ALEA GROUPE,Activités des sièges sociaux,PARIS,250 à 499 salariés,Groupe Aléa,Insurance,"Paris, France",201-500,Courtier en assurance pour les entreprises depuis 1987.
4,LUMEN ENERGIE,Production d'électricité,TOULOUSE,50 à 99 salariés,Lumen,Renewable Energy,"Toulouse, France",51-200,Producteur d'énergie solaire pour les industriels.
5,LUMEN ENERGIE,Production d'électricité,TOULOUSE,50 à 99 salariés,Lumen Studio,Design,"Montréal, Canada",2-10,Studio de design graphique.
6,CORVUS AVOCATS,Activités juridiques,BORDEAUX,10 à 19 salariés,Corvus,Law Practice,Bordeaux,11-50,Cabinet d'avocats d'affaires.
7,VERTIGO ROBOTICS,Fabrication de machines,NANTES,20 à 49 salariés,Vertigo Robotics,Industrial Automation,"Nantes, France",11-50,Robots de tri pour la logistique.
8,BELLUNE,Fabrication d'étoffes,ROUBAIX,100 à 199 salariés,Bellune Textile,Textile Manufacturing,"Roubaix, France",51-200,"Tissage et ennoblissement, fondée en 1921."
9,ATELIER MAUD,Fabrication d'articles de joaillerie,ANNECY,1 ou 2 salariés,Maud Consulting,Management Consulting,Genève,2-10,Conseil en organisation.
10,PAYFIT,Édition de logiciels applicatifs,PARIS,500 à 999 salariés,PayFit,Software Development,"Paris, France",501-1000,La solution de paie et RH des PME.
