id,poste,entreprise,connecte_le
1,Directeur général,Nuvola,12/03/2024
2,Étudiante en master marketing digital,ESSEC Business School,04/09/2023
3,Fondateur & CEO,Vertigo Robotics,21/01/2026
4,Talent Acquisition Manager,Groupe Aléa,15/06/2025
5,Responsable ADV,Bellune Textile,02/11/2022
6,Consultant outbound indépendant,Freelance,30/05/2026
7,Directrice commerciale,Lumen Énergie,08/02/2025
8,Chargé de mission développement économique,Métropole de Nantes,19/10/2021
9,Présidente,Groupe Aléa,27/07/2024
10,Gérant,Atelier Maud,03/04/2026
