id,titre_poste,entreprise,secteur,effectif,notes,score,score_niveau,score_confidence,score_p_0,score_p_1,score_p_2,score_p_3,score_legende,a_verifier
1,CEO,Nuvola,Logiciel B2B,35,Vient de publier une offre de premier SDR (2 septembre). Utilise HubSpot et lemlist.,2.83,3,0.83,0.02,0.03,0.05,0.9,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",0
2,Développeur full-stack,Vertigo Robotics,Robotique industrielle,60,Aucune information commerciale. En poste depuis 2024.,0.28,0,0.72,0.73,0.27,0.0,0.0,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",0
3,Directrice commerciale,Groupe Aléa,Courtage en assurance B2B,180,"Pas de signal récent. Équipe de 6 commerciaux, cycle de vente long.",1.68,2,0.66,0.07,0.19,0.73,0.01,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",1
4,Gérant,Boulangerie Martin,Boulangerie,4,Aimerait plus de clients le lundi matin.,0.02,0,0.98,0.98,0.02,0.0,0.0,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",0
5,Fondatrice,Atelier Maud,Bijouterie (vente aux particuliers),2,Vend en boutique à Annecy et sur Etsy.,0.03,0,0.97,0.98,0.02,0.0,0.0,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",0
6,Chef de projet marketing,Lumen Énergie,Énergie solaire pour industriels,90,A commenté un post sur la prospection LinkedIn en août.,1.21,1,0.77,0.01,0.85,0.06,0.08,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",0
7,Managing Partner,Corvus Avocats,Cabinet d'avocats d'affaires,14,A demandé publiquement des recommandations de prestataire pour prospecter les directions juridiques des ETI.,2.43,3,0.43,0.08,0.14,0.05,0.73,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",1
8,Directeur général,Bellune Textile,Fabrication textile B2B,150,Levée de 3 M€ annoncée en juin pour ouvrir l'Allemagne ; recrute un responsable commercial export.,2.86,3,0.86,0.02,0.03,0.04,0.91,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",0
9,Head of Growth,Propulse Leads,Agence de génération de leads,12,Vend de la prospection externalisée aux startups.,0.03,0,0.97,0.99,0.0,0.0,0.01,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",0
10,CEO,Martin Technologies,ESN cloud,320,Vient de passer sur Attio ce mois-ci et branche un séquenceur derrière.,0.63,0,0.37,0.54,0.36,0.03,0.07,"0: 0, cold: outside the ICP on role or company: consumer business, public sector, fewer than 10 or more than 250 employees, a role with no say on sales (developer, accountant, intern, HR), or a company that sells prospecting or lead generation itself. | 1: 1, weak: fits on one axis only: right company size and sector but a non-decision role (project manager, marketing assistant, analyst), or a decision maker in a company outside the size or sector range. | 2: 2, warm: decision maker in a company inside the size and sector range, with nothing in `notes` showing an active sales project. | 3: 3, hot: decision maker inside the ICP and `notes` contain a live signal: hiring a first salesperson or an SDR, a new CRM or sequencer, a stated outbound or lead generation project, a public request for a prospecting provider, a recent fundraise for commercial growth.",1
