id,linkedin_headline
1,CEO & Co-Founder @ Nuvola | On aide les PME industrielles à vendre à l'export
2,Directrice Commerciale chez Groupe Aléa
3,J'aide les dirigeants de PME à doubler leur pipeline en 90 jours | Consultant outbound
4,Chef de projet marketing digital chez Lumen Énergie
5,Head of Sales | Fintech B2B | ex-Qonto
6,"Gérant, Menuiserie Bertrand & Fils"
7,"Freelance UX designer, disponible pour missions"
8,KP
9,Managing Partner at Corvus Avocats
10,SDR @ Payfit 🚀 | On recrute !
