id,source,titre_actualite,resume
1,Maddyness,Nuvola lève 3 M€ pour attaquer le marché allemand,"La start-up lyonnaise, 35 salariés, édite une plateforme export pour les PME industrielles. Elle annonce le recrutement d'une équipe commerciale à Munich d'ici la fin de l'année."
2,Les Échos,"Le CAC 40 termine en hausse de 0,8 %","La Bourse de Paris a clôturé en progression, portée par le luxe et les banques, dans l'attente des chiffres de l'inflation américaine."
3,Page LinkedIn Vertigo Robotics,Sophie Renard rejoint Vertigo Robotics comme directrice commerciale,"Le fabricant nantais de robots de tri (45 salariés) annonce l'arrivée de Sophie Renard, ex-Exotec, pour structurer la vente aux logisticiens européens."
4,Ouest-France,La boulangerie Martin ouvre une troisième boutique à Lille,"Après Wazemmes et le Vieux-Lille, la famille Martin s'installe rue de Béthune avec cinq nouveaux salariés."
5,Journal du Net,Groupe Aléa confie sa prospection à l'agence Leadfabrik,"Le courtier en assurance (180 salariés) externalise la prise de rendez-vous auprès des ETI à l'agence de SDR Leadfabrik, sur un contrat d'un an."
6,La Tribune,Lumen Énergie labellisée entreprise engagée RSE 2026,Le producteur toulousain d'électricité solaire reçoit le label pour sa politique de recyclage des panneaux et son plan de mobilité.
7,Le Figaro,Vinci publie un chiffre d'affaires trimestriel en hausse de 6 %,"Le groupe de construction et de concessions confirme ses objectifs annuels, porté par les aéroports et l'énergie."
8,Newsletter Corvus Avocats,"Petit-déjeuner : la réforme des baux commerciaux, ce qui change pour les PME",Le cabinet bordelais (12 avocats) organise un petit-déjeuner le 14 octobre pour les dirigeants de PME sur la réforme des baux commerciaux.
9,Communiqué de presse,Bellune Textile rachète l'atelier de confection Mistral à Marseille,Le tisseur roubaisien (120 salariés) reprend Mistral et ses 18 salariés pour proposer une offre complète aux marques de vêtements professionnels.
10,Frenchweb,Martin Technologies migre son CRM vers HubSpot et recrute deux SDR,L'ESN parisienne (120 salariés) abandonne son CRM maison et ouvre deux postes de SDR pour prospecter les ETI hors Île-de-France.
