id,activite
1,"Appel avec Julie Ferrand (Nuvola), 12 min. Elle a 2 commerciaux, aucun SDR, veut structurer la prospection avant janvier. Demande une proposition avec deux niveaux de prix d'ici vendredi."
2,"Objet : Re: Re: Accompagnement prospection

Bonjour Achille,
Nous avons finalement choisi une autre agence, plus proche de notre secteur. Merci pour vos échanges et bonne continuation.
Cordialement,
Thomas Delmas"
3,"Message LinkedIn envoyé à Sophie Renard après l'acceptation de l'invitation : « Merci Sophie, ravi d'être connecté. Curieux de voir comment Vertigo aborde la prospection en Allemagne. »"
4,"Visio de découverte avec Karim Benali et sa DAF (Groupe Aléa), 45 min. Contexte : 12 commerciaux, HubSpot sous-utilisé, aucune séquence en place. Prochaine étape : démo de l'agent le 3 octobre."
5,"Messagerie, injoignable. Rappeler jeudi matin avant 10 h."
6,"Objet : Contrat signé

Bonjour,
Vous trouverez ci-joint le contrat signé par notre président. On démarre le 1er novembre comme convenu.
Bien à vous,
Élise Garnier, Corvus Avocats"
7,"Retour de Bellune sur la proposition : le prix est jugé trop haut de 20 %, ils voudraient retirer le volet LinkedIn et garder l'email seul. Décision au comité de direction du 15."
8,Mettre à jour l'adresse de facturation de Lumen Énergie (déménagement à Blagnac le 1er octobre).
9,"Point visio avec Martin Technologies : ils ont testé l'agent sur 200 leads, satisfaits. Contrat annuel discuté, ils demandent un paiement trimestriel au lieu d'annuel. Réponse attendue lundi."
10,"Objet : Absence du bureau

Je suis absent jusqu'au 6 octobre et je lirai votre message à mon retour.
Marc Vidal"
