id,acheteur,objet,texte,fit,fit_niveau,fit_confidence,fit_p_0,fit_p_1,fit_p_2,fit_p_3,fit_legende,chances,chances_niveau,chances_confidence,chances_p_0,chances_p_1,chances_p_2,chances_p_3,chances_legende,a_verifier
1,Région Auvergne-Rhône-Alpes,Refonte du portail des aides régionales,"Conception et développement d'un portail web sur mesure (front, back, API), hébergement et maintenance sur 3 ans. Budget estimé 380 000 € HT. Critères : valeur technique 60 %, prix 40 %. Date limite de remise des offres : 28/10/2026. Aucune certification exigée.",2.93,3,0.93,0.0,0.01,0.03,0.96,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",2.86,3,0.86,0.01,0.01,0.08,0.9,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",0
2,Ville de Roubaix,Nettoyage des locaux administratifs,"Prestations de nettoyage quotidien de 12 bâtiments municipaux, 4 lots géographiques. Marché de 2 ans reconductible. Budget 240 000 € HT par an.",0.01,0,0.99,1.0,0.0,0.0,0.0,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",1.5,1,0.14,0.18,0.38,0.19,0.25,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",1
3,Université de Bordeaux,Fourniture de 400 postes de travail et écrans,"Achat de 400 ordinateurs portables, stations d'accueil et écrans 27 pouces, livraison sur 3 campus. Budget 520 000 € HT. Critère prix 70 %, délai de livraison 30 %.",0.93,1,0.89,0.09,0.9,0.01,0.0,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",1.29,1,0.68,0.01,0.76,0.15,0.08,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",1
4,CHU de Toulouse,Plateforme de données patients,"Développement d'un entrepôt de données de santé et de ses tableaux de bord. Hébergement certifié HDS obligatoire, équipe de 12 personnes sur site à Toulouse. Budget 1,8 M€ HT sur 4 ans.",2.42,2,0.57,0.0,0.0,0.58,0.42,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",0.01,0,0.99,1.0,0.0,0.0,0.0,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",1
5,Groupe Aléa,Application mobile de gestion des sinistres,"Conception d'une application iOS et Android pour les assurés, avec intégration au progiciel de gestion existant. Backend web à prévoir. Budget 150 000 € HT. Réponse attendue sous 15 jours.",1.94,2,0.9,0.0,0.07,0.91,0.02,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",1.8,2,0.75,0.02,0.18,0.78,0.02,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",0
6,Agence de l'eau Loire-Bretagne,Maintenance corrective et évolutive du site internet,"Reconduction de la maintenance du site institutionnel développé par le prestataire en place depuis 2021, correctifs et petites évolutions. 25 000 € HT par an, 2 ans.",2.9,3,0.9,0.0,0.01,0.07,0.92,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",0.23,0,0.77,0.79,0.19,0.01,0.01,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",0
7,Métropole de Nantes,Formation des agents aux outils bureautiques,"Sessions de formation Excel et Word pour 300 agents, en présentiel dans les locaux de la métropole. Budget 45 000 € HT. Critères : qualité pédagogique 50 %, prix 50 %.",0.91,1,0.89,0.1,0.9,0.0,0.0,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",2.49,3,0.49,0.06,0.03,0.27,0.64,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",1
8,Lumen Énergie,Plateforme data de suivi de production solaire,"Développement d'une plateforme web de collecte et de visualisation des données de 120 centrales, API, tableaux de bord, hébergement cloud. Budget 260 000 € HT. Critères : valeur technique 50 %, méthodologie 20 %, prix 30 %. Date limite : 15/11/2026.",2.94,3,0.94,0.0,0.01,0.04,0.95,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",1.97,2,0.89,0.01,0.04,0.91,0.04,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",0
9,Conseil départemental de l'Isère,Refonte du site internet et de l'intranet,"Refonte graphique et technique du site public et de l'intranet des agents, avec migration de contenus et hébergement. Budget 90 000 € HT. Réponse attendue sous 8 jours.",2.95,3,0.95,0.0,0.01,0.03,0.96,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",1.14,1,0.85,0.01,0.86,0.12,0.01,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",0
10,Nuvola,Cadrage et audit d'un projet de portail client B2B,"Mission de conseil de 30 jours pour cadrer un futur portail client (ateliers, cahier des charges, estimation). Le développement fera l'objet d'une consultation ultérieure. Budget 28 000 € HT.",1.33,1,0.67,0.0,0.72,0.23,0.05,"0: 0, out of scope: works, cleaning, supplies, catering, legal or financial services, anything unrelated to software or digital services. | 1: 1, distant: IT or digital but another trade: hardware or network supply, telephony, printing, ERP or licence purchase, pure training or consulting, audiovisual production. | 2: 2, close: a web, data or software mission where a large part of the scope is outside our offer: a mobile app, a heavy ERP integration, a data platform bundled with on-site infrastructure, or a mission where development is a minor lot. | 3: 3, core: custom web application, data platform, website or portal redesign with development, hosting and maintenance, exactly our offer.",1.03,1,0.92,0.03,0.93,0.03,0.01,"0: 0, no chance: an eliminatory requirement we do not meet (ISO 27001 or HDS required, more than 8 people on site, a mandatory office outside France, budget over 1 M€), or the text renews an existing contract with the current provider. | 1: 1, low: response deadline under 10 days, budget under 30 k€, award criteria weighted mostly on price, or wording that hints at a preferred provider ('reconduction', 'prestataire en place'). | 2: 2, fair: budget between 30 k€ and 500 k€, criteria weighted on technical quality, no eliminatory requirement, a buyer type we have already served. | 3: 3, high: all of level 2 plus a public buyer or a sector where we hold references (collectivités, universités, agences publiques), a scope sized for a team of 3 to 8 people, and a deadline of three weeks or more.",1
