id,acheteur,objet,texte
1,Région Auvergne-Rhône-Alpes,Refonte du portail des aides régionales,"Conception et développement d'un portail web sur mesure (front, back, API), hébergement et maintenance sur 3 ans. Budget estimé 380 000 € HT. Critères : valeur technique 60 %, prix 40 %. Date limite de remise des offres : 28/10/2026. Aucune certification exigée."
2,Ville de Roubaix,Nettoyage des locaux administratifs,"Prestations de nettoyage quotidien de 12 bâtiments municipaux, 4 lots géographiques. Marché de 2 ans reconductible. Budget 240 000 € HT par an."
3,Université de Bordeaux,Fourniture de 400 postes de travail et écrans,"Achat de 400 ordinateurs portables, stations d'accueil et écrans 27 pouces, livraison sur 3 campus. Budget 520 000 € HT. Critère prix 70 %, délai de livraison 30 %."
4,CHU de Toulouse,Plateforme de données patients,"Développement d'un entrepôt de données de santé et de ses tableaux de bord. Hébergement certifié HDS obligatoire, équipe de 12 personnes sur site à Toulouse. Budget 1,8 M€ HT sur 4 ans."
5,Groupe Aléa,Application mobile de gestion des sinistres,"Conception d'une application iOS et Android pour les assurés, avec intégration au progiciel de gestion existant. Backend web à prévoir. Budget 150 000 € HT. Réponse attendue sous 15 jours."
6,Agence de l'eau Loire-Bretagne,Maintenance corrective et évolutive du site internet,"Reconduction de la maintenance du site institutionnel développé par le prestataire en place depuis 2021, correctifs et petites évolutions. 25 000 € HT par an, 2 ans."
7,Métropole de Nantes,Formation des agents aux outils bureautiques,"Sessions de formation Excel et Word pour 300 agents, en présentiel dans les locaux de la métropole. Budget 45 000 € HT. Critères : qualité pédagogique 50 %, prix 50 %."
8,Lumen Énergie,Plateforme data de suivi de production solaire,"Développement d'une plateforme web de collecte et de visualisation des données de 120 centrales, API, tableaux de bord, hébergement cloud. Budget 260 000 € HT. Critères : valeur technique 50 %, méthodologie 20 %, prix 30 %. Date limite : 15/11/2026."
9,Conseil départemental de l'Isère,Refonte du site internet et de l'intranet,"Refonte graphique et technique du site public et de l'intranet des agents, avec migration de contenus et hébergement. Budget 90 000 € HT. Réponse attendue sous 8 jours."
10,Nuvola,Cadrage et audit d'un projet de portail client B2B,"Mission de conseil de 30 jours pour cadrer un futur portail client (ateliers, cahier des charges, estimation). Le développement fera l'objet d'une consultation ultérieure. Budget 28 000 € HT."
