id,linkedin_headline
1,CEO & Co-Founder @ Nuvola | Logiciel de gestion export pour les PME industrielles
2,J'aide les dirigeants de PME à générer 15 rendez-vous par mois | Consultant outbound
3,Account Executive @ lemlist | On aide les équipes sales à booker plus de rendez-vous
4,Talent Acquisition Manager chez Hays | Je recrute vos futurs commerciaux
5,Étudiant en Master 2 Marketing digital à l'IAE de Lyon
6,Directrice commerciale | Groupe Aléa | Assurance des entreprises
7,"Growth Engineer freelance | Clay, Cargo, n8n | Je construis vos machines outbound"
8,SDR @ Payfit 🚀 | On recrute !
9,"Gérant, Menuiserie Bertrand & Fils"
10,Journaliste économique | Les Échos
