id,poste,entreprise,secteur,effectif,signal,notes
1,CEO,Nuvola,Logiciel de gestion export,38,Offre d'emploi SDR publiée le 12/09/2026,"Deux account executives en place, aucun SDR jusqu'ici"
2,Fondateur,Vertigo Robotics,Robotique logistique,25,Levée de 4 M€ annoncée le 03/09/2026,Le fondateur écrit « accélérer le commercial » dans son post
3,Gérant,Menuiserie Bertrand & Fils,Menuiserie industrielle,22,aucun,"Le gérant fait lui-même les devis et les visites clients, aucun commercial"
4,Directeur commercial,Lumen Énergie,Solaire pour industriels,60,Ouverture d'une agence à Nantes (post du 08/09/2026),"Trois commerciaux, tous basés à Toulouse"
5,Directrice commerciale,Groupe Aléa,Courtage en assurance,320,aucun,"Appel découverte : « on gère les relances sur Excel, on n'a jamais eu de CRM »"
6,Associé,Corvus Avocats,Avocats d'affaires,14,aucun,Rien de particulier trouvé
7,CEO,Martin Technologies,ESN cloud,85,Head of Sales recruté en janvier 2026 ; levée de 2 M€ annoncée le 10/09/2026,Head of Sales en poste depuis huit mois
8,Fondatrice,Atelier Maud,Joaillerie,3,aucun,Vend en boutique et sur Instagram
9,Head of Sales,Hélios Formation,Formation professionnelle B2B,45,Lancement d'une offre inter-entreprises en septembre 2026,Équipe de 2 commerciaux dédiée aux formations intra
10,Président,Bellune Textile,Textile,140,Recrute un business developer (offre du 18/09/2026),"Note : « on n'a jamais prospecté, tout vient du bouche-à-oreille, aucun outil »"
