id,type_signal,entreprise,texte
1,offre d'emploi,Nuvola,"Nous recrutons notre premier SDR pour structurer la prospection sortante et alimenter nos deux account executives. Stack : HubSpot, lemlist, LinkedIn Sales Navigator."
2,offre d'emploi,Bellune Textile,"Comptable général H/F, CDI, Roubaix. Tenue de la comptabilité, déclarations fiscales."
3,post LinkedIn,Vertigo Robotics,Fiers d'annoncer notre levée de 4 M€ pour accélérer notre déploiement commercial en Europe : nous ouvrons des bureaux à Munich et recrutons une équipe sales.
4,post LinkedIn,Lumen Énergie,Belle journée d'équipe hier au bord du lac. Merci à tous !
5,offre d'emploi,Groupe Aléa,"Head of Growth : vous construirez de zéro notre machine d'acquisition B2B (outbound, partenariats, contenu) et piloterez un budget de 300 k€."
6,post LinkedIn,Corvus Avocats,Nous cherchons un prestataire pour nous aider à prospecter les directions juridiques des ETI. Recommandations bienvenues en commentaire.
7,post LinkedIn,Atelier Maud,"Nouvelle collection automne, rendez-vous à la boutique samedi."
8,offre d'emploi,PayFit,"Ingénieur DevOps senior, Paris ou remote. Kubernetes, Terraform."
9,post LinkedIn,Martin Technologies,On a changé de CRM ce mois-ci pour passer sur Attio et on branche un séquenceur derrière. Objectif : 3x de rendez-vous sortants d'ici décembre.
10,post LinkedIn,Boulangerie Martin,On aimerait bien avoir plus de clients le lundi matin.
