id,linkedin_headline,about,entreprise_description,est_persona,est_persona_p_oui,est_persona_confidence,a_verifier
1,CEO & Co-fondateur @ Nuvola | On aide les PME industrielles à vendre à l'export,"Je dirige Nuvola depuis 2019, 35 personnes à Lyon. Je garde la main sur le commercial et les partenariats avec les intégrateurs.","Nuvola édite une plateforme de gestion des ventes à l'export pour les PME industrielles. 35 salariés, Lyon.",oui,0.92,0.84,0
2,Directrice commerciale chez Groupe Aléa,Quinze ans dans le courtage. J'anime une équipe de 12 commerciaux sur le marché des entreprises de 50 à 500 salariés.,"Groupe Aléa, courtier en assurance pour les entreprises depuis 1987. 180 salariés, Paris.",non,0.12,0.76,0
3,J'aide les dirigeants de PME à doubler leur pipeline en 90 jours | Consultant outbound,"Ancien directeur commercial, j'accompagne aujourd'hui les dirigeants sur leur prospection. Missions de 3 à 6 mois.","Activité de conseil en solo, immatriculée en micro-entreprise, Nantes.",non,0.03,0.94,0
4,Chef de projet marketing digital chez Lumen Énergie,"Je pilote les campagnes digitales, le site web et les salons. Passionné de SEO et de contenu.","Lumen Énergie, producteur d'électricité solaire pour les sites industriels. 80 salariés, Toulouse.",non,0.08,0.84,0
5,"Gérant, Menuiserie Bertrand & Fils","Menuiserie familiale depuis 1962, 14 compagnons. On travaille surtout pour les particuliers, et depuis deux ans pour quelques promoteurs immobiliers.","Menuiserie artisanale, fabrication et pose de menuiseries bois pour les particuliers et les promoteurs. 14 salariés, Angers.",non,0.06,0.88,0
6,Head of Sales @ Vertigo Robotics,J'ai monté l'équipe commerciale de Vertigo de 0 à 6 personnes. On vend nos robots de tri aux logisticiens français et allemands.,"Vertigo Robotics conçoit des robots de tri pour les entrepôts logistiques. 45 salariés, Nantes.",oui,0.94,0.88,0
7,Directeur commercial France chez Renault Trucks,"Responsable du réseau de distribution France, 900 personnes en ligne indirecte. Ancien directeur régional.","Constructeur de poids lourds, filiale du groupe Volvo. 9 000 salariés en France, Lyon.",non,0.02,0.96,0
8,Business Developer chez Martin Technologies,Je prospecte les DSI des ETI pour nos offres cloud et infogérance. En charge de la région Sud-Ouest.,"Martin Technologies, ESN spécialisée dans le cloud et l'infogérance. 120 salariés, Paris.",non,0.28,0.44,1
9,Présidente de l'association Les Ateliers du Faubourg,Je préside une structure d'insertion par le travail. Nous accompagnons 60 personnes par an vers l'emploi.,"Association loi 1901 d'insertion par le travail, ateliers de couture et de restauration. 25 salariés, Marseille.",non,0.02,0.96,0
10,"Fondateur, Corvus Avocats","Cabinet d'avocats d'affaires, 12 personnes. Je gère le développement du cabinet et les relations avec nos clients dirigeants.","Corvus Avocats, cabinet d'avocats d'affaires pour les PME et ETI. 12 salariés, Bordeaux.",oui,0.89,0.78,0
