id,linkedin_headline,about,postes_actuels,postes_passes,niveau,niveau_niveau,niveau_confidence,niveau_p_1,niveau_p_2,niveau_p_3,niveau_p_4,niveau_p_5,niveau_legende,a_verifier
1,CEO & Co-Founder @ Nuvola,"On aide les PME industrielles à vendre à l'export grâce à une plateforme de mise en relation avec des distributeurs. 35 personnes à Lyon, 400 clients.","CEO et co-fondateur, Nuvola (2021 à aujourd'hui)","Directeur commercial, Groupe Aléa (2016 à 2021) ; Ingénieur d'affaires, Martin Technologies (2012 à 2016)",4.75,5,0.79,0.05,0.01,0.01,0.01,0.92,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",0
2,Head of Sales | Vertigo Robotics,"Je pilote l'équipe commerciale de Vertigo Robotics : 6 account executives, 2 SDR, marché européen de la logistique.","Head of Sales, Vertigo Robotics (2023 à aujourd'hui)","Account Executive, PayFit (2019 à 2023) ; SDR, Spendesk (2018 à 2019)",4.66,5,0.72,0.02,0.01,0.01,0.2,0.76,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",0
3,Head of Sales | J'aide les scale-ups à structurer leur outbound,"Ex Head of Sales chez Vertigo Robotics, j'accompagne aujourd'hui les fondateurs de scale-ups pour construire leur machine outbound. Freelance, missions de 3 mois.",Consultant outbound indépendant (2025 à aujourd'hui),"Head of Sales, Vertigo Robotics (2021 à 2025) ; Account Executive, Qonto (2018 à 2021)",1.06,1,0.95,0.98,0.01,0.0,0.0,0.01,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",0
4,Business Developer @ Lumen Énergie,Je prospecte les industriels du Sud-Ouest pour leurs projets solaires en autoconsommation.,"Business Developer, Lumen Énergie (2024 à aujourd'hui)","Chargé de clientèle professionnels, Banque Populaire Occitane (2021 à 2024)",3.91,4,0.92,0.02,0.01,0.01,0.95,0.01,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",0
5,Directrice marketing | Groupe Aléa,"Marketing B2B pour un courtier en assurance des entreprises : contenu, événements, génération de leads entrants pour les 40 chargés d'affaires.","Directrice marketing, Groupe Aléa (2020 à aujourd'hui)","Responsable communication, Bellune Textile (2015 à 2020)",3.47,4,0.55,0.02,0.01,0.47,0.49,0.01,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",1
6,DAF | Bellune Textile,Direction administrative et financière d'une PME textile de 120 personnes à Roubaix.,"Directeur administratif et financier, Bellune Textile (2018 à aujourd'hui)","Contrôleur de gestion, Décathlon (2010 à 2018)",2.05,2,0.95,0.0,0.97,0.02,0.0,0.01,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",0
7,"Gérant, Menuiserie Bertrand & Fils","Menuiserie sur mesure pour les particuliers depuis 1962. Atelier à Angers, 12 compagnons.","Gérant, Menuiserie Bertrand & Fils (2009 à aujourd'hui)","Compagnon menuisier, Menuiserie Bertrand & Fils (1998 à 2009)",3.04,3,0.84,0.01,0.06,0.86,0.01,0.06,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",0
8,Directeur commercial chez Martin Technologies,"ESN de 600 personnes. Je dirige la BU secteur public : 40 commerciaux, 90 M€ de chiffre d'affaires.","Directeur commercial BU secteur public, Martin Technologies (2022 à aujourd'hui)","Directeur régional, Sopra Steria (2014 à 2022)",3.85,4,0.86,0.04,0.01,0.01,0.93,0.01,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",0
9,Étudiant en Master Management | En recherche d'alternance,"Passionné par la vente B2B, je cherche une alternance de business developer à partir de septembre.","Étudiant, ESSCA Angers (2024 à aujourd'hui)","Stagiaire commercial, Atelier Maud (été 2025)",1.02,1,0.98,1.0,0.0,0.0,0.0,0.0,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",0
10,Co-fondatrice | Corvus Avocats,"Cabinet d'avocats d'affaires à Bordeaux, 14 avocats, droit des sociétés et des contrats pour les PME et ETI.","Associée co-fondatrice, Corvus Avocats (2017 à aujourd'hui)","Avocate collaboratrice, Fidal (2011 à 2017)",3.0,2,0.13,0.03,0.48,0.22,0.01,0.26,"1: 1, excluded: sells prospecting, lead generation, growth or sales consulting as their own service (agency, freelance, 'fractional', 'j'accompagne', 'growth partner'), or the current positions are all at agencies of that kind, or the profile shows a student, a retiree or a job seeker. | 2: 2, unrelated: an operating role with no link to revenue (finance, HR, legal, engineering, production, logistics, IT, customer support) and no sales role in the current positions. | 3: 3, adjacent: hears about the pipeline without owning it: marketing manager, communication, product marketing, customer success, office manager, partner or associé focused on delivery, or an owner or sales role at a company that sells to consumers. | 4: 4, executes: runs prospecting day to day at a B2B company: SDR, BDR, business developer, account executive, growth manager, sales ops, head of marketing in charge of lead generation, or a sales director at a company above 200 people. | 5: 5, owns the pain: founder, co-founder, CEO, directeur général, directeur commercial, VP Sales or Head of Sales at a B2B company of roughly 10 to 200 people, with the current position confirmed in `postes_actuels` and a past that fits (sales leadership, a previous company founded).",1
