id,commentaire
1,"Sur le papier c'est top, mais à 300 € par mois l'outil plus les crédits d'enrichissement, pour une boîte de 8 personnes je ne vois pas le retour."
2,"On a testé pendant 2 mois : 4 % de réponses, 3 rendez-vous, et un client signé. On continue."
3,Tu utilises quoi comme séquenceur derrière ? lemlist ou La Growth Machine ?
4,Super post 🔥
5,"Le problème c'est que les messages sentent l'IA à trois kilomètres, mes prospects me l'ont dit en face."
6,"Et le RGPD dans tout ça ? Envoyer 500 emails par jour à des gens qui n'ont rien demandé, ça finit en spam ou en plainte."
7,Tu as des chiffres sur le taux de réponse comparé à un SDR humain ?
8,"J'aimerais bien mais je n'ai personne pour monter ça, on est 3 et je fais déjà la compta le soir."
9,"Tu peux détailler l'étape de qualification ? Le prompt que tu donnes au modèle, tu le construis comment ?"
10,"Ça marche peut-être en SaaS, mais dans le BTP mes clients ne lisent pas leurs emails, et de toute façon ça coûte un bras."
