id,source,poste,entreprise,message,maturite,maturite_niveau,maturite_confidence,maturite_p_0,maturite_p_1,maturite_p_2,maturite_p_3,maturite_legende,a_verifier
1,formulaire site,Directeur général,Nuvola,"Bonjour, nous avons budgété 25 k€ pour externaliser notre prospection à partir d'octobre. Pouvez-vous m'envoyer une proposition et vos disponibilités pour un appel cette semaine ?",2.94,3,0.94,0.0,0.01,0.04,0.95,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
2,formulaire site,Étudiant,ESSEC Business School,"Bonjour, je prépare un mémoire sur l'outbound B2B, auriez-vous 20 minutes pour un entretien ?",0.01,0,0.99,1.0,0.0,0.0,0.0,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
3,email,Responsable marketing,Bellune Textile,"On réfléchit à mettre en place de la prospection sortante l'année prochaine, je regarde ce qui existe. Avez-vous une plaquette ?",1.05,1,0.9,0.03,0.9,0.07,0.0,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
4,LinkedIn,Head of Sales,Vertigo Robotics,Nous comparons deux prestataires pour lancer une campagne sur le marché allemand en janvier. Pouvez-vous nous présenter vos tarifs et un cas client dans l'industrie ?,1.92,2,0.84,0.0,0.11,0.85,0.04,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
5,formulaire site,Fondateur,Agence Pixel Nord,"Bonjour, nous proposons des services de création de site web à prix compétitif, seriez-vous intéressé par un devis ?",0.05,0,0.95,0.97,0.01,0.01,0.01,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
6,email,Assistante de direction,Groupe Aléa,"Ma directrice m'a demandé de me renseigner sur vos offres, sans urgence. Pourriez-vous m'envoyer des informations ?",0.79,1,0.77,0.22,0.77,0.01,0.0,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
7,formulaire site,Directrice commerciale,Lumen Énergie,"Notre séquenceur actuel ne donne rien, je veux relancer 800 comptes industriels avant fin novembre. Combien ça coûte et sous quel délai vous pouvez démarrer ?",2.85,3,0.85,0.0,0.0,0.14,0.86,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
8,formulaire site,Chargé de communication,Mairie de Vannes,Je souhaite recevoir votre guide sur la prospection LinkedIn.,0.01,0,0.99,0.99,0.01,0.0,0.0,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
9,LinkedIn,Gérant,Menuiserie Bertrand & Fils,"On vient de recruter un commercial et on aimerait l'aider à trouver des clients, vous faites ça pour des petites boîtes comme la nôtre ?",1.17,1,0.78,0.03,0.79,0.17,0.01,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
10,email,Associé,Corvus Avocats,"Suite à notre échange au salon, le comité a validé le budget. Pouvez-vous nous envoyer le contrat pour un démarrage début octobre ?",2.95,3,0.95,0.0,0.01,0.03,0.96,"0: 0, curiosity or no lead: general information request, student or job seeker, a supplier pitching its own services, a request for content (guide, newsletter, webinar replay), or a message with no need at all. | 1: 1, exploring: a real need is named but without timeline, budget or decision power ('we might look at this next year', 'just comparing what exists', 'my manager asked me to gather information'). | 2: 2, evaluating: a defined need with a timeline or an active comparison ('we are choosing between two providers', 'we want to start in January', asks for pricing, a demo or a case study). | 3: 3, ready: a decision maker with a stated budget or deadline who asks for a proposal, a contract, availability or a start date ('send the quote', 'when can you start', 'the budget is approved').",0
