id,plateforme,texte_annonce,description_visuel,jours_en_ligne,frequence,evolution_ctr,qualite,qualite_niveau,qualite_confidence,qualite_p_0,qualite_p_1,qualite_p_2,qualite_p_3,qualite_legende,conformite,conformite_niveau,conformite_confidence,conformite_p_0,conformite_p_1,conformite_p_2,conformite_p_3,conformite_legende,fatigue,fatigue_niveau,fatigue_confidence,fatigue_p_0,fatigue_p_1,fatigue_p_2,fatigue_p_3,fatigue_legende,a_verifier
1,LinkedIn,Nuvola : 38 PME industrielles ont réduit de 40 % le temps de traitement de leurs dossiers export. Demandez une démo de 20 minutes.,"Capture d'écran du tableau de bord avec un dossier export passé de 6 jours à 3,5 jours, logo Nuvola en bas à droite, bouton « Demander une démo ».",9,"1,4",+3 % sur 9 jours,2.91,3,0.91,0.0,0.01,0.08,0.91,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",1.85,2,0.77,0.01,0.16,0.79,0.04,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",0.0,0,1.0,1.0,0.0,0.0,0.0,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",0
2,Meta,La solution qui simplifie votre quotidien. Découvrez Lumen Énergie.,"Photo de banque d'images d'un bureau lumineux, aucun produit visible.",45,"3,8",-28 % sur 45 jours,0.53,1,0.52,0.47,0.53,0.0,0.0,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",2.13,3,0.13,0.02,0.28,0.25,0.45,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",2.04,2,0.95,0.0,0.0,0.95,0.05,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",1
3,Meta,"Résultats garantis ou remboursé : perdez 10 kg en 30 jours avec le programme Bellune Forme. Cliquez avant minuit, plus que 3 places !","Photo avant et après d'une femme en maillot de bain, compteur de temps qui défile en rouge.",70,"6,2",-55 % sur 70 jours,2.88,3,0.88,0.0,0.02,0.08,0.9,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",0.07,0,0.93,0.95,0.04,0.0,0.01,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",2.99,3,0.99,0.0,0.0,0.0,1.0,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",0
4,Google Display,"Vertigo Robotics, le meilleur robot de tri du marché. Devis gratuit.","Photo d'un robot de tri dans un entrepôt, bouton « Devis gratuit ».",20,"2,4",-12 % sur 20 jours,1.13,1,0.86,0.0,0.87,0.13,0.0,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",1.02,1,0.91,0.04,0.91,0.04,0.01,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",1.01,1,0.98,0.0,0.99,0.01,0.0,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",0
5,LinkedIn,Groupe Aléa | Assurance flotte pour les PME : cotisation en baisse de 18 % en moyenne* chez nos clients 2025. Simulez votre tarif en 2 minutes.,"Visuel d'une camionnette blanche sur fond bleu, mention « *étude interne sur 212 contrats » en petit en bas, bouton « Simuler ».",12,"1,8",+1 % sur 12 jours,2.67,3,0.67,0.0,0.0,0.32,0.68,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",2.0,2,0.46,0.07,0.12,0.54,0.27,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",0.01,0,0.99,0.99,0.01,0.0,0.0,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",1
6,Meta,Vous êtes endetté ? Corvus Avocats efface vos dettes en 3 mois.,"Portrait d'un avocat en robe, texte en majuscules rouges sur fond noir.",33,"4,1",-35 % sur 33 jours,1.23,1,0.73,0.02,0.73,0.24,0.01,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",0.08,0,0.92,0.93,0.05,0.01,0.01,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",2.06,2,0.93,0.0,0.0,0.93,0.07,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",0
7,LinkedIn,Martin Technologies accompagne les entreprises dans leur transformation digitale.,Logo Martin Technologies centré sur fond gris.,90,"5,5",-48 % sur 90 jours,0.14,0,0.86,0.87,0.13,0.0,0.0,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",2.83,3,0.83,0.0,0.01,0.13,0.86,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",3.0,3,1.0,0.0,0.0,0.0,1.0,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",0
8,Google Display,"Atelier Maud : bagues en or recyclé, fabriquées à Annecy. Livraison en 5 jours. Voir la collection.","Photo produit d'une bague sur fond blanc, bouton « Voir la collection ».",25,"2,2",-18 % sur 25 jours,2.19,2,0.69,0.0,0.06,0.69,0.25,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",2.64,3,0.64,0.01,0.03,0.28,0.68,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",1.02,1,0.97,0.0,0.98,0.02,0.0,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",1
9,Meta,"Hélios Formation, numéro 1 de la formation commerciale en France. Inscrivez-vous à la session d'octobre.","Photo d'une salle de formation avec des participants, badge « N°1 » en haut à gauche.",16,"1,6",-8 % sur 16 jours,1.83,2,0.62,0.01,0.26,0.62,0.11,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",1.04,1,0.89,0.03,0.91,0.05,0.01,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",1.0,1,0.99,0.0,0.99,0.01,0.0,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",1
10,LinkedIn,"Contrairement à Sequana, Nuvola ne vous fait pas payer les mises à jour douanières. Comparez les deux offres.","Tableau comparatif Nuvola contre Sequana, colonne Sequana en rouge avec des croix.",58,"4,8",-38 % sur 58 jours,1.65,2,0.61,0.0,0.36,0.62,0.02,"0: 0, unusable: no readable promise, a text that says what the company is without what the reader gets, no call to action, or a visual unrelated to the text. | 1: 1, weak: a generic promise ('la solution qui simplifie votre quotidien'), jargon, no number and no proof, or a call to action buried at the end. | 2: 2, solid: a specific promise for a named audience, one concrete benefit or number, a clear call to action; the visual supports the text. | 3: 3, strong: a specific promise, a proof (number, client name, before and after), a single call to action, and a visual that shows the result or the product in use; nothing to cut.",0.14,0,0.86,0.91,0.05,0.03,0.01,"0: 0, blocking: a claim likely to be refused or sanctioned: guaranteed results, a medical or financial promise, a competitor named negatively, a fake urgency with a false countdown, an insult, or a regulated product with no legal mention. | 1: 1, risky: a superlative or absolute claim without proof ('le meilleur', 'numéro 1', 'résultats garantis'), a testimonial with no identifiable source, or a message that assumes a personal attribute of the reader ('vous êtes endetté ?'). | 2: 2, minor fix: compliant overall but one element to adjust: a number without its source, a missing asterisk on a conditional offer, an unclear price, a logo used without permission. | 3: 3, compliant: factual claims with a source, no comparison, no personal attribute, legal mentions present where required.",2.09,2,0.9,0.0,0.0,0.91,0.09,"0: 0, fresh: live under 14 days, frequency under 2, click-through rate stable or rising. | 1: 1, early wear: live 14 to 30 days, or frequency between 2 and 3, with a click-through rate down by less than 20 percent. | 2: 2, tired: live 30 to 60 days, or frequency between 3 and 5, or a click-through rate down by 20 to 40 percent. | 3: 3, exhausted: live over 60 days, or frequency above 5, or a click-through rate down by more than 40 percent; replace the creative.",1
