id,job_title,department,still_at_company,niveau,niveau_niveau,niveau_confidence,niveau_p_1,niveau_p_2,niveau_p_3,niveau_p_4,niveau_p_5,niveau_legende,a_verifier
1,"Director, Government Affairs",Public Policy,true,4.95,5,0.96,0.01,0.0,0.0,0.0,0.99,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",0
2,Senior Accountant,Finance,true,1.02,1,0.98,1.0,0.0,0.0,0.0,0.0,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",0
3,Site Acquisition Specialist,Network Deployment,true,4.0,4,0.98,0.0,0.0,0.0,0.99,0.01,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",0
4,Software Engineer II,Engineering,true,2.15,2,0.87,0.01,0.9,0.03,0.06,0.0,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",0
5,VP Market Expansion,Strategy,true,4.94,5,0.95,0.0,0.0,0.02,0.0,0.98,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",0
6,Regional Operations Manager,Operations,true,3.2,3,0.81,0.0,0.0,0.79,0.2,0.01,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",0
7,"Lead Data Developer, Competitive Intelligence",Strategy,true,4.12,4,0.47,0.0,0.0,0.24,0.38,0.38,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",1
8,Customer Service Representative,Support,true,2.02,2,0.97,0.01,0.98,0.01,0.0,0.0,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",0
9,Director of Franchise Relations,Government Affairs,false,1.5,1,0.58,0.88,0.0,0.0,0.0,0.12,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",1
10,Permitting Coordinator,Network Deployment,true,3.99,4,0.98,0.0,0.0,0.0,0.99,0.01,"1: 1, excluded: finance, accounting, legal, tax, payroll, or a person no longer at the company. | 2: 2, unrelated: any other role with no link to the pain (engineering unrelated to deployment, HR, IT support, customer service). | 3: 3, adjacent: a neighbouring department that hears about the pain (regional operations, real estate, public relations, strategy). | 4: 4, executes: does the work the buyers decide (network deployment lead, site acquisition specialist, permitting, market analyst, GIS or data lead in those teams). | 5: 5, owns the pain: government affairs, public policy, franchise, market expansion, competitive intelligence, site acquisition leadership, at director level or above, or the named owner of those topics.",0
