id,terme,acheteur,acheteur_p_oui,acheteur_confidence,a_verifier
1,logiciel notes de frais pme,oui,0.91,0.82,0
2,note de frais définition,non,0.06,0.88,0
3,modèle note de frais excel gratuit,non,0.05,0.9,0
4,meilleur logiciel notes de frais 2026 comparatif,oui,0.94,0.88,0
5,expensya avis,oui,0.82,0.64,1
6,barème kilométrique 2026,non,0.05,0.9,0
7,emploi comptable notes de frais lyon,non,0.04,0.92,0
8,application notes de frais,non,0.39,0.22,1
9,logiciel notes de frais prix par utilisateur,oui,0.88,0.76,0
10,dématérialisation notes de frais obligation,non,0.23,0.54,1
