id,contexte,email,bon_a_envoyer,bon_a_envoyer_p_oui,bon_a_envoyer_confidence,a_verifier
1,"Prospect : Claire Morel, CEO de Nuvola (Lyon, 35 personnes, plateforme export pour PME industrielles). Signal : offre d'emploi SDR publiée le 10/09. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : email court, une seule question, proposer un échange de 20 minutes.","Bonjour Claire, j'ai vu que Nuvola recrute un SDR. Le temps qu'il arrive et monte en puissance, il se passe souvent quatre à six mois sans rendez-vous nouveaux. Nous prenons ce relais pour des PME B2B, avec une équipe déjà formée à l'export. Un échange de 20 minutes cette semaine pour voir si ça a du sens de votre côté ? Achille",non,0.25,0.5,1
2,"Prospect : Claire Morel, CEO de Nuvola (Lyon, 35 personnes, plateforme export pour PME industrielles). Signal : offre d'emploi SDR publiée le 10/09. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : email court, une seule question, proposer un échange de 20 minutes.","Bonjour {{prenom}}, j'ai vu que Nuvola recrute un SDR. Le temps qu'il arrive et monte en puissance, il se passe souvent quatre à six mois sans rendez-vous nouveaux. Nous prenons ce relais pour des PME B2B. Un échange de 20 minutes cette semaine ? Achille",non,0.02,0.96,0
3,"Prospect : Claire Morel, CEO de Nuvola (Lyon, 35 personnes, plateforme export pour PME industrielles). Signal : offre d'emploi SDR publiée le 10/09. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : email court, une seule question, proposer un échange de 20 minutes.","Bonjour Claire, félicitations pour votre levée de 3 M€ annoncée la semaine dernière. Avec un SDR en cours de recrutement et 400 clients à servir, la prise de rendez-vous va devenir le goulot. Nous prenons ce relais pour des PME B2B. Un échange de 20 minutes cette semaine ? Achille",non,0.02,0.96,0
4,"Prospect : Claire Morel, CEO de Nuvola (Lyon, 35 personnes, plateforme export pour PME industrielles). Signal : offre d'emploi SDR publiée le 10/09. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : email court, une seule question, proposer un échange de 20 minutes.","Bonjour Claire ! Je vous ai trouvée sur LinkedIn et j'ai vu que Nuvola recrute un SDR. Notre solution est la plus performante du marché pour les PME B2B : nous avons généré plus de 15 000 rendez-vous pour 200 clients, avec un taux de réponse moyen de 9 %. Nous pouvons prendre le relais dès la semaine prochaine, pendant que votre futur SDR se forme, puis lui transmettre le pipeline. Je vous propose un échange de 20 minutes cette semaine, et si vous préférez, je peux aussi vous envoyer notre plaquette ainsi que deux études de cas dans l'industrie. Vous pouvez également réserver directement un créneau sur mon agenda en ligne. Au plaisir d'échanger ! Achille",non,0.01,0.98,0
5,"Prospect : Claire Morel, CEO de Nuvola (Lyon, 35 personnes, plateforme export pour PME industrielles). Signal : offre d'emploi SDR publiée le 10/09. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : email court, une seule question, proposer un échange de 20 minutes.","Salut Claire, j'ai vu que tu recrutes un SDR chez Nuvola. Le temps qu'il arrive, il se passe souvent quatre à six mois sans rendez-vous nouveaux. On prend ce relais pour des PME B2B. Un échange de 20 minutes cette semaine ? Achille",non,0.03,0.94,0
6,"Prospect : Thomas Delmas, directeur commercial de Groupe Aléa (Paris, courtier en assurance des entreprises, 40 chargés d'affaires). Signal : post LinkedIn du 15/09 sur la difficulté à joindre les DAF d'ETI. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : rebondir sur le post, une seule question, proposer un échange de 20 minutes.","Bonjour Thomas, votre post du 15 septembre sur les DAF d'ETI injoignables décrit ce que nous voyons chez la plupart des courtiers. Nous prenons en charge la prise de rendez-vous pour des PME B2B, avec des séquences relues par un humain avant chaque envoi. Un échange de 20 minutes pour comparer nos taux de réponse avec ceux de vos 40 chargés d'affaires ? Achille",oui,0.53,0.06,1
7,"Prospect : Thomas Delmas, directeur commercial de Groupe Aléa (Paris, courtier en assurance des entreprises, 40 chargés d'affaires). Signal : post LinkedIn du 15/09 sur la difficulté à joindre les DAF d'ETI. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : rebondir sur le post, une seule question, proposer un échange de 20 minutes.","Bonjour Thomas, Groupe Aléa est une entreprise remarquable et votre parcours force le respect. Votre post sur les DAF d'ETI m'a beaucoup parlé. Nous proposons la meilleure solution du marché pour prendre des rendez-vous à votre place ! Un échange de 20 minutes cette semaine ? Achille",non,0.02,0.96,0
8,"Prospect : Thomas Delmas, directeur commercial de Groupe Aléa (Paris, courtier en assurance des entreprises, 40 chargés d'affaires). Signal : post LinkedIn du 15/09 sur la difficulté à joindre les DAF d'ETI. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : rebondir sur le post, une seule question, proposer un échange de 20 minutes.","Bonjour Thomas, votre post du 15 septembre sur les DAF d'ETI injoignables décrit ce que nous voyons chez la plupart des courtiers 🎯. Nous prenons en charge la prise de rendez-vous pour des PME B2B. Un échange de 20 minutes cette semaine ? Achille 🚀",non,0.03,0.94,0
9,"Prospect : Pierre Lambert, dirigeant de Lumen Énergie (Toulouse, producteur d'électricité solaire pour sites industriels, 60 personnes). Signal : ouverture d'une agence à Bordeaux annoncée le 08/09. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : email court, une seule question, proposer un échange de 20 minutes.","Bonjour Pierre, j'ai vu l'ouverture de votre agence de Bordeaux le 8 septembre. Une nouvelle zone à couvrir sans commercial en place, c'est en général six mois de prospection à rattraper. Nous prenons ce relais pour des PME B2B industrielles. Un échange de 20 minutes pour voir si ça a du sens pour Bordeaux ? Achille",non,0.21,0.58,1
10,"Prospect : Pierre Lambert, dirigeant de Lumen Énergie (Toulouse, producteur d'électricité solaire pour sites industriels, 60 personnes). Signal : ouverture d'une agence à Bordeaux annoncée le 08/09. Notre offre : prise de rendez-vous externalisée pour PME B2B. Brief : email court, une seule question, proposer un échange de 20 minutes.","Bonjour Pierre, j'ai vu l'ouverture de votre agence de Bordeaux. Voici ce que nous faisons pour des PME B2B comme Lumen Énergie : • prise de rendez-vous avec les directeurs de sites industriels • séquences relues par un humain • reporting hebdomadaire. Un échange de 20 minutes cette semaine ? Achille",non,0.04,0.92,0
