id,type_entree,texte,correspond_icp,correspond_icp_p_oui,correspond_icp_confidence,a_verifier
1,entreprise,"Nuvola édite un logiciel de gestion des dossiers export pour les PME industrielles. 38 salariés à Lyon, clients en France et en Allemagne, équipe commerciale de 4 personnes.",oui,0.87,0.74,0
2,bio,"Fondateur de Vertigo Robotics. On fabrique des robots de tri pour les entrepôts logistiques, 25 personnes à Nantes. Je gère encore moi-même les rendez-vous clients.",oui,0.77,0.54,1
3,message,"Bonjour, j'ai vu votre post sur la prospection. On est une agence growth de 6 personnes et on cherche à sous-traiter une partie de nos campagnes clients. Ça vous intéresse ?",non,0.03,0.94,0
4,entreprise,"Boulangerie Martin, artisan boulanger à Lille depuis 1994. Deux boutiques, pains au levain, pâtisseries maison. Ouvert du mardi au dimanche.",non,0.02,0.96,0
5,bio,"Directeur commercial chez Groupe Aléa, courtier en assurance pour les entreprises, 320 collaborateurs. Je pilote une équipe de 12 commerciaux terrain sur la moitié nord.",non,0.42,0.16,1
6,message,"Bonjour, je suis Julie, étudiante en master marketing à Bordeaux. Je cherche un stage de 6 mois à partir de janvier dans une entreprise comme la vôtre. CV en pièce jointe.",non,0.03,0.94,0
7,entreprise,"Lumen Énergie installe des centrales solaires en toiture pour les industriels et les logisticiens. 60 salariés à Toulouse, 3 commerciaux, objectif 2027 : doubler le nombre de sites signés.",oui,0.56,0.12,1
8,bio,Consultant indépendant en stratégie commerciale. J'accompagne les dirigeants de PME dans la structuration de leur force de vente. Ex-directeur commercial de Bellune Textile.,non,0.05,0.9,0
9,message,"Bonjour, nous sommes la mairie de Chartres. Nous recherchons un prestataire pour animer un atelier sur la prospection auprès des commerçants du centre-ville.",non,0.02,0.96,0
10,entreprise,"Corvus Avocats, cabinet d'avocats d'affaires à Bordeaux, 14 personnes. Droit des sociétés et fusions-acquisitions pour les PME régionales. Développement porté par les deux associés fondateurs.",non,0.33,0.34,1
