id,source,poste,entreprise,message
1,formulaire site,Directeur général,Nuvola,"Bonjour, nous avons budgété 25 k€ pour externaliser notre prospection à partir d'octobre. Pouvez-vous m'envoyer une proposition et vos disponibilités pour un appel cette semaine ?"
2,formulaire site,Étudiant,ESSEC Business School,"Bonjour, je prépare un mémoire sur l'outbound B2B, auriez-vous 20 minutes pour un entretien ?"
3,email,Responsable marketing,Bellune Textile,"On réfléchit à mettre en place de la prospection sortante l'année prochaine, je regarde ce qui existe. Avez-vous une plaquette ?"
4,LinkedIn,Head of Sales,Vertigo Robotics,Nous comparons deux prestataires pour lancer une campagne sur le marché allemand en janvier. Pouvez-vous nous présenter vos tarifs et un cas client dans l'industrie ?
5,formulaire site,Fondateur,Agence Pixel Nord,"Bonjour, nous proposons des services de création de site web à prix compétitif, seriez-vous intéressé par un devis ?"
6,email,Assistante de direction,Groupe Aléa,"Ma directrice m'a demandé de me renseigner sur vos offres, sans urgence. Pourriez-vous m'envoyer des informations ?"
7,formulaire site,Directrice commerciale,Lumen Énergie,"Notre séquenceur actuel ne donne rien, je veux relancer 800 comptes industriels avant fin novembre. Combien ça coûte et sous quel délai vous pouvez démarrer ?"
8,formulaire site,Chargé de communication,Mairie de Vannes,Je souhaite recevoir votre guide sur la prospection LinkedIn.
9,LinkedIn,Gérant,Menuiserie Bertrand & Fils,"On vient de recruter un commercial et on aimerait l'aider à trouver des clients, vous faites ça pour des petites boîtes comme la nôtre ?"
10,email,Associé,Corvus Avocats,"Suite à notre échange au salon, le comité a validé le budget. Pouvez-vous nous envoyer le contrat pour un démarrage début octobre ?"
