id,plateforme,texte_annonce,description_visuel,jours_en_ligne,frequence,evolution_ctr
1,LinkedIn,Nuvola : 38 PME industrielles ont réduit de 40 % le temps de traitement de leurs dossiers export. Demandez une démo de 20 minutes.,"Capture d'écran du tableau de bord avec un dossier export passé de 6 jours à 3,5 jours, logo Nuvola en bas à droite, bouton « Demander une démo ».",9,"1,4",+3 % sur 9 jours
2,Meta,La solution qui simplifie votre quotidien. Découvrez Lumen Énergie.,"Photo de banque d'images d'un bureau lumineux, aucun produit visible.",45,"3,8",-28 % sur 45 jours
3,Meta,"Résultats garantis ou remboursé : perdez 10 kg en 30 jours avec le programme Bellune Forme. Cliquez avant minuit, plus que 3 places !","Photo avant et après d'une femme en maillot de bain, compteur de temps qui défile en rouge.",70,"6,2",-55 % sur 70 jours
4,Google Display,"Vertigo Robotics, le meilleur robot de tri du marché. Devis gratuit.","Photo d'un robot de tri dans un entrepôt, bouton « Devis gratuit ».",20,"2,4",-12 % sur 20 jours
5,LinkedIn,Groupe Aléa | Assurance flotte pour les PME : cotisation en baisse de 18 % en moyenne* chez nos clients 2025. Simulez votre tarif en 2 minutes.,"Visuel d'une camionnette blanche sur fond bleu, mention « *étude interne sur 212 contrats » en petit en bas, bouton « Simuler ».",12,"1,8",+1 % sur 12 jours
6,Meta,Vous êtes endetté ? Corvus Avocats efface vos dettes en 3 mois.,"Portrait d'un avocat en robe, texte en majuscules rouges sur fond noir.",33,"4,1",-35 % sur 33 jours
7,LinkedIn,Martin Technologies accompagne les entreprises dans leur transformation digitale.,Logo Martin Technologies centré sur fond gris.,90,"5,5",-48 % sur 90 jours
8,Google Display,"Atelier Maud : bagues en or recyclé, fabriquées à Annecy. Livraison en 5 jours. Voir la collection.","Photo produit d'une bague sur fond blanc, bouton « Voir la collection ».",25,"2,2",-18 % sur 25 jours
9,Meta,"Hélios Formation, numéro 1 de la formation commerciale en France. Inscrivez-vous à la session d'octobre.","Photo d'une salle de formation avec des participants, badge « N°1 » en haut à gauche.",16,"1,6",-8 % sur 16 jours
10,LinkedIn,"Contrairement à Sequana, Nuvola ne vous fait pas payer les mises à jour douanières. Comparez les deux offres.","Tableau comparatif Nuvola contre Sequana, colonne Sequana en rouge avec des croix.",58,"4,8",-38 % sur 58 jours
