id,poste,entreprise,source,historique,priorite,priorite_niveau,priorite_confidence,priorite_p_1,priorite_p_2,priorite_p_3,priorite_p_4,priorite_p_5,priorite_legende,a_verifier
1,Directeur général,Nuvola,formulaire site,2026-09-21 : a rempli le formulaire en demandant à être rappelé jeudi matin,4.94,5,0.95,0.0,0.0,0.0,0.03,0.97,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
2,Responsable marketing,Bellune Textile,téléchargement guide,"2026-08-30 : téléchargement du guide ; 2026-09-03 : email de suivi, non ouvert ; 2026-09-10 : deuxième email, non ouvert",1.92,2,0.91,0.09,0.9,0.01,0.0,0.0,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
3,Head of Sales,Vertigo Robotics,outbound,"2026-09-08 : email 1 envoyé ; 2026-09-15 : réponse : intéressant, quel est votre tarif pour 500 comptes ?",4.0,4,0.99,0.0,0.0,0.0,1.0,0.0,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
4,Directrice commerciale,Lumen Énergie,salon,"2026-06-12 : badge scanné au salon ; 2026-06-20 : email, sans réponse ; 2026-07-05 : appel, messagerie ; 2026-08-02 : appel, messagerie ; 2026-09-01 : email, non ouvert",1.33,1,0.73,0.7,0.3,0.0,0.0,0.0,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
5,Associé,Corvus Avocats,recommandation,"2026-09-20 : recommandé par un client, aucun contact encore",3.01,3,0.98,0.0,0.0,0.99,0.0,0.01,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
6,Fondateur,Martin Technologies,outbound,2026-09-02 : proposition envoyée ; 2026-09-18 : le fondateur écrit que le comité tranche le 25/09,4.94,5,0.95,0.0,0.0,0.01,0.03,0.96,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
7,Chef de projet,Groupe Aléa,webinaire,"2026-09-16 : présent au webinaire ; 2026-09-17 : email de suivi ouvert 3 fois, lien cliqué, sans réponse",2.99,3,0.98,0.0,0.01,0.99,0.0,0.0,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
8,Gérant,Menuiserie Bertrand & Fils,outbound,"2026-09-11 : réponse : merci mais revenez plutôt en janvier, on boucle notre saison",1.02,1,0.98,0.99,0.01,0.0,0.0,0.0,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
9,Directeur des opérations,Groupe Delorme Logistique,outbound,"2026-09-19 : réponse : ok pour un échange de 20 minutes, proposez-moi des créneaux",4.08,4,0.93,0.0,0.0,0.0,0.92,0.08,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
10,Business Developer,Atelier Maud,outbound,"2026-09-04 : email 1 envoyé, non ouvert ; 2026-09-12 : email 2, ouvert une fois",2.8,3,0.83,0.0,0.2,0.8,0.0,0.0,"1: 1, park: the lead said no, asked to be contacted after next quarter, or three or more attempts in the last 60 days got no reaction at all. | 2: 2, cold: an inbound content download, an event badge or an outbound lead with one or two attempts and no reply, no open, no click. | 3: 3, warm: opened or clicked in the last 14 days, replied once without committing, or a referral or a new inbound not yet contacted. | 4: 4, hot: replied with interest, asked about price, scope or timing, or requested a demo or a call that has not been booked yet. | 5: 5, call now: asked to be called, a meeting to confirm today, a proposal sent with a decision expected within 7 days, or a decision maker who replied in the last 48 hours.",0
