id,reponse,a_quitte,a_quitte_p_oui,a_quitte_confidence,a_verifier
1,"Bonjour, je ne fais plus partie de Nuvola depuis le 1er septembre. Pour toute question commerciale, vous pouvez contacter Julie Ferrand (julie.ferrand@nuvola.fr). Bonne continuation.",oui,0.98,0.96,0
2,"Je suis en congés jusqu'au 4 octobre et je lirai vos messages à mon retour. En cas d'urgence, contactez l'accueil au 04 72 00 00 00.",non,0.01,0.98,0
3,"Merci pour votre message, mais je ne suis plus en charge du commercial : j'ai pris la direction des opérations en juin. Mon collègue Karim Benali a repris le sujet.",non,0.04,0.92,0
4,"Bonjour, Sophie Renard a quitté Vertigo Robotics. Sa boîte mail n'est plus consultée. Pour les sujets commerciaux, merci d'écrire à contact@vertigo-robotics.fr.",oui,0.98,0.96,0
5,"Ça m'intéresse, on peut se caler un appel la semaine prochaine ?",non,0.01,0.98,0
6,"Je démarre une nouvelle aventure chez Groupe Aléa le mois prochain, je ne serai donc plus votre interlocuteur chez Lumen. Bonne continuation à vous.",oui,0.9,0.8,0
7,Échec de la remise : l'adresse m.leroy@bellune-textile.fr n'existe pas (550 5.1.1 user unknown).,non,0.07,0.86,0
8,"Je suis en congé maternité jusqu'en mars 2027. Pendant mon absence, Thomas Delmas assure l'intérim sur les partenariats : thomas.delmas@groupe-alea.fr.",non,0.02,0.96,0
9,Message automatique : Marc Vidal ne travaille plus chez Corvus Avocats. Ses dossiers ont été repris par Maître Élise Garnier (e.garnier@corvus-avocats.fr).,oui,0.98,0.96,0
10,"Je quitte mes fonctions à la fin du mois, il faudra voir avec mon successeur, qui n'est pas encore nommé. Je transmets votre message en interne.",oui,0.88,0.76,0
