id,entreprise,evenement,angle
1,Nuvola,"2026-09-18 : offre d'emploi pour un premier SDR, mission : structurer la prospection sortante",Vous constituez une équipe de prospection sortante
2,Bellune Textile,2026-09-02 : obtention du label Entreprise du Patrimoine Vivant,Vous accélérez votre développement commercial
3,Vertigo Robotics,2026-08-20 : ouverture d'un bureau à Munich,Vous vous développez sur le marché allemand
4,Groupe Aléa,"2026-09-18 : gel des recrutements annoncé en interne, relayé par la presse régionale",Vous êtes en pleine croissance
5,Lumen Énergie,2026-09-15 : passage sur HubSpot et branchement d'un séquenceur,Vous outillez votre équipe commerciale
6,Corvus Avocats,2025-03-10 : arrivée d'un nouvel associé en droit social,Vous venez de renforcer votre équipe
7,Atelier Maud,2026-09-12 : photo de l'équipe au séminaire annuel,Vous réorganisez votre équipe commerciale
8,Martin Technologies,2026-09-05 : levée de 4 M€ pour accélérer le déploiement commercial en Europe,Vous accélérez votre croissance commerciale
9,Maison Roussel,2026-09-14 : offre d'emploi Responsable marketing digital,Vous structurez votre prospection sortante
10,Groupe Delorme Logistique,2026-09-10 : nomination d'une nouvelle directrice commerciale venue de chez un concurrent,Vous repensez votre approche commerciale
