id,objet,reponse
1,Réponse automatique : Prospection PME,"Bonjour, je suis absente jusqu'au 6 octobre. Pour toute urgence, contactez accueil@groupe-alea.fr. Cordialement, Sophie Renard"
2,RE: Prospection PME,"Bonjour, merci pour votre message. Le sujet n'est pas d'actualité chez nous, bonne continuation. Marc"
3,Undeliverable: Prospection PME,Delivery has failed to these recipients or groups: j.dupont@bellune-textile.fr. The email address you entered couldn't be found.
4,RE: Prospection PME,"Je suis en déplacement toute la semaine, je regarde ça à mon retour et je vous dis. Julien"
5,Votre demande a bien été reçue [#48213],"Bonjour, nous avons bien reçu votre demande. Un conseiller vous répondra sous 48 heures ouvrées. Service client Lumen Énergie"
6,RE: Prospection PME,"Pouvez-vous m'envoyer une plaquette et vos tarifs ? Merci. Claire Morel, CEO Nuvola"
7,Automatic reply: Prospection PME,Thank you for your email. I have left Vertigo Robotics. Please contact sales@vertigo-robotics.com for any business request.
8,RE: Prospection PME,Merci de ne plus m'écrire.
9,Mail delivery failed: returning message to sender,This message was created automatically by mail delivery software. Mailbox quota exceeded for contact@atelier-maud.fr
10,RE: Prospection PME,"Bonjour, je ne travaille plus sur ces sujets, je transfère à Thomas Delmas qui vous répondra directement. Bien à vous, Anne"
