id,activite,type_activite,type_activite_confidence,type_activite_p_reunion,type_activite_p_email,type_activite_p_appel,type_activite_p_autre,type_activite_p_message_linkedin,etape,etape_confidence,etape_p_negociation,etape_p_decouverte,etape_p_sans_objet,etape_p_gagne,etape_p_proposition,etape_p_perdu,etape_p_prise_de_contact,a_verifier
1,"Appel avec Julie Ferrand (Nuvola), 12 min. Elle a 2 commerciaux, aucun SDR, veut structurer la prospection avant janvier. Demande une proposition avec deux niveaux de prix d'ici vendredi.",appel,1.0,0.0,0.0,1.0,0.0,0.0,proposition,0.98,0.0,0.01,0.0,0.0,0.99,0.0,0.0,0
2,"Objet : Re: Re: Accompagnement prospection

Bonjour Achille,
Nous avons finalement choisi une autre agence, plus proche de notre secteur. Merci pour vos échanges et bonne continuation.
Cordialement,
Thomas Delmas",email,1.0,0.0,1.0,0.0,0.0,0.0,perdu,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3,"Message LinkedIn envoyé à Sophie Renard après l'acceptation de l'invitation : « Merci Sophie, ravi d'être connecté. Curieux de voir comment Vertigo aborde la prospection en Allemagne. »",message_linkedin,1.0,0.0,0.0,0.0,0.0,1.0,prise_de_contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4,"Visio de découverte avec Karim Benali et sa DAF (Groupe Aléa), 45 min. Contexte : 12 commerciaux, HubSpot sous-utilisé, aucune séquence en place. Prochaine étape : démo de l'agent le 3 octobre.",reunion,1.0,1.0,0.0,0.0,0.0,0.0,decouverte,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
5,"Messagerie, injoignable. Rappeler jeudi matin avant 10 h.",appel,1.0,0.0,0.0,1.0,0.0,0.0,prise_de_contact,0.75,0.0,0.0,0.21,0.0,0.0,0.0,0.79,1
6,"Objet : Contrat signé

Bonjour,
Vous trouverez ci-joint le contrat signé par notre président. On démarre le 1er novembre comme convenu.
Bien à vous,
Élise Garnier, Corvus Avocats",email,1.0,0.0,1.0,0.0,0.0,0.0,gagne,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
7,"Retour de Bellune sur la proposition : le prix est jugé trop haut de 20 %, ils voudraient retirer le volet LinkedIn et garder l'email seul. Décision au comité de direction du 15.",autre,0.95,0.01,0.01,0.01,0.96,0.01,negociation,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,Mettre à jour l'adresse de facturation de Lumen Énergie (déménagement à Blagnac le 1er octobre).,autre,1.0,0.0,0.0,0.0,1.0,0.0,sans_objet,0.84,0.0,0.0,0.87,0.13,0.0,0.0,0.0,0
9,"Point visio avec Martin Technologies : ils ont testé l'agent sur 200 leads, satisfaits. Contrat annuel discuté, ils demandent un paiement trimestriel au lieu d'annuel. Réponse attendue lundi.",reunion,1.0,1.0,0.0,0.0,0.0,0.0,negociation,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,"Objet : Absence du bureau

Je suis absent jusqu'au 6 octobre et je lirai votre message à mon retour.
Marc Vidal",email,1.0,0.0,1.0,0.0,0.0,0.0,sans_objet,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
