id,annonceur,texte_annonce,bouton,etape_tunnel,etape_tunnel_confidence,etape_tunnel_p_unclear,etape_tunnel_p_conversion,etape_tunnel_p_fidelisation,etape_tunnel_p_notoriete,etape_tunnel_p_consideration,etape_tunnel_p_recrutement,a_verifier
1,Propulse Leads,"30 rendez-vous qualifiés par mois, ou on vous rembourse. Réservez votre audit gratuit de 20 minutes.",Réserver un appel,conversion,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2,Nuvola,"Depuis 2019, on aide 400 PME industrielles à vendre à l'export. Notre histoire commence dans un atelier de Villeurbanne.",En savoir plus,notoriete,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3,Salesflow Agency,"Le guide 2026 de la prospection multicanale : 42 pages, 12 séquences qui marchent, gratuit.",Télécharger le guide,consideration,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4,Groupe Aléa,Clients Aléa : votre nouvel espace en ligne est ouvert. Déclarez un sinistre en 3 clics.,Accéder à mon espace,fidelisation,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
5,Vertigo Robotics,Nous recrutons 12 ingénieurs à Nantes en 2026. Rejoignez l'équipe qui automatise la logistique.,Voir les postes,recrutement,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
6,Martin Technologies,Webinaire le 9 octobre : migrer son infrastructure vers le cloud sans coupure. Avec deux DSI clients en témoignage.,S'inscrire,consideration,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7,Lumen Énergie,Le soleil ne facture rien.,Découvrir,notoriete,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8,Pipedrive France,"Essai gratuit 14 jours, sans carte bancaire. Le CRM préféré des PME.",Commencer l'essai,conversion,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
9,Bellune Textile,"Parrainez un confrère, recevez 500 € sur votre prochaine commande.",Parrainer,fidelisation,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10,Corvus Avocats,Corvus.,Ouvrir,unclear,0.46,0.55,0.01,0.0,0.44,0.0,0.0,1
