id,prospect_headline,prospect_entreprise,prospect_contexte,accroche_a,accroche_b,accroche_c
1,CEO @ Nuvola,"Nuvola, éditeur d'une plateforme export pour PME industrielles, 35 salariés, Lyon",A publié la semaine dernière une offre pour un premier SDR.,"Je vous ai trouvé via votre offre de SDR, elle m'a donné envie de vous écrire.",Votre offre de premier SDR chez Nuvola m'a fait penser à une question : combien de rendez-vous par mois il devra sortir pour rentabiliser son poste dès la première année ?,Votre parcours est impressionnant et Nuvola a l'air d'une belle boîte.
2,"Directrice commerciale, Groupe Aléa","Courtier en assurance pour les entreprises, 180 salariés, Paris",A commenté un post sur le coût d'un SDR interne : 650 € par rendez-vous qualifié chez eux.,"650 € le rendez-vous qualifié, c'est le chiffre que vous donniez sous le post d'hier. Avec 12 commerciaux, ça fait un budget qui mérite d'être comparé.",Forward aide les directions commerciales à sortir plus de rendez-vous grâce à des agents IA. Un échange cette semaine ?,"Groupe Aléa recrute des commerciaux partout en France, bravo pour cette croissance."
3,Head of Sales @ Vertigo Robotics,"Robots de tri pour la logistique, 45 salariés, Nantes",Ouverture d'un bureau à Munich annoncée en septembre.,J'ai repéré votre profil et je me suis dit qu'on devait échanger.,"Félicitations pour votre levée de fonds de 10 M€, quelle étape !","Vertigo ouvre un bureau à Munich : prospecter les logisticiens allemands depuis Nantes, avec une équipe qui ne parle pas encore allemand, c'est souvent là que la machine cale."
4,"Gérant, Menuiserie Bertrand & Fils","Menuiserie artisanale, 14 salariés, Angers","Vient de recruter un premier commercial, sans CRM.","Un premier commercial sans CRM, c'est souvent six mois de contacts qui vivent dans son téléphone. Vous avez prévu quelque chose pour ça ?",Je vous ai trouvé sur LinkedIn et j'adore le travail du bois.,Nous sommes une agence de prospection et nous aidons les PME comme la vôtre à trouver des clients.
5,"Fondateur, Corvus Avocats","Cabinet d'avocats d'affaires pour PME et ETI, 12 salariés, Bordeaux",A demandé sur LinkedIn des recommandations de prestataires pour prospecter les directions juridiques d'ETI.,"Votre parcours est impressionnant, Maître.","Bravo pour votre cabinet, la profession a besoin de gens comme vous.","Je vous ai trouvé grâce à votre post, on fait exactement ce que vous cherchez."
6,"Directeur général, Bellune Textile","Tissage et ennoblissement, 120 salariés, Roubaix",A racheté l'atelier Mistral (18 salariés) à Marseille en septembre.,Le rachat de Mistral vous donne un second site et sans doute deux fichiers clients à réconcilier avant de prospecter le Sud : c'est en général là que ça se complique.,Bellune Textile est une entreprise remarquable depuis 1921.,Le rachat de Mistral vous ouvre le marché du Sud. Comment comptez-vous attaquer les donneurs d'ordre marseillais avec une équipe commerciale restée à Roubaix ?
7,"Responsable marketing, Lumen Énergie","Producteur d'électricité solaire pour les industriels, 80 salariés, Toulouse",Lumen a changé de CRM pour HubSpot en juin.,"Passage sur HubSpot en juin : à ce stade, en général, les séquences sont créées mais personne ne sait qui les lit. C'est le cas chez Lumen ?",Nous sommes partenaires HubSpot et proposons un audit gratuit de votre compte.,Je suis tombé sur votre profil en cherchant des marketeurs de l'énergie.
8,"CEO, Martin Technologies","ESN spécialisée dans le cloud et l'infogérance, 120 salariés, Paris",Aucune actualité connue.,"Votre entreprise a l'air formidable, ce serait un plaisir d'échanger.",Une ESN de 120 personnes qui vend du cloud aux ETI a en général deux ou trois commerciaux qui prospectent entre deux rendez-vous : la prospection à froid passe après tout le reste. C'est le cas chez vous ?,Nous accompagnons les ESN dans leur prospection depuis cinq ans.
9,"Directrice des opérations, Atelier Maud","Joaillerie artisanale, 2 salariés, Annecy",Lance une gamme de cadeaux pour les comités d'entreprise.,"Vendre des bijoux aux comités d'entreprise, c'est un cycle très différent du particulier en boutique : un acheteur, un catalogue, une date. Vous avez déjà une liste de comités à contacter ?",Vos bijoux sont magnifiques !,Je vous ai trouvée grâce à votre site et je voulais vous proposer nos services.
10,"Head of Growth, PayFit","Logiciel de paie et RH, 800 salariés, Paris",A publié un post sur le passage de l'outbound à l'inbound.,Votre post sur le passage à l'inbound m'a intrigué : à quel volume de leads sortants vous avez décidé de couper ?,"PayFit est une réussite incroyable, bravo à toute l'équipe.","Votre post sur l'inbound est passionnant. Et avec le rachat de PayFit par Nuvola, comment gérez-vous la croissance ?"
