id,linkedin_headline,about,vend_aux_dirigeants,vend_aux_dirigeants_p_oui,vend_aux_dirigeants_confidence,a_verifier
1,J'accompagne les dirigeants de PME dans leur stratégie commerciale | Coach & consultant,"15 ans de direction commerciale, j'aide aujourd'hui les CEO de PME à structurer leurs ventes. Prenons rendez-vous.",oui,0.98,0.96,0
2,CEO @ Vertigo Robotics,"Nous concevons des robots de tri pour la logistique. 40 personnes, Nantes.",non,0.04,0.92,0
3,Growth partner | Lead gen B2B pour les scale-ups,Agence de prospection externalisée. +200 clients accompagnés.,oui,0.98,0.96,0
4,Directeur des opérations chez Bellune Textile,"Industrie textile, 120 salariés, basé à Roubaix.",non,0.03,0.94,0
5,Fractional CMO pour les SaaS early stage,Je prends la direction marketing à temps partiel de 2 à 3 startups.,oui,0.98,0.96,0
6,Product Manager @ Doctolib,,non,0.03,0.94,0
7,"Fondatrice, Atelier Maud (bijoux artisanaux)","Créations en argent recyclé, vente en ligne et en boutique.",non,0.02,0.96,0
8,Recruteur indépendant | Profils tech et sales pour les startups,Je trouve vos prochains talents en 3 semaines.,oui,0.97,0.94,0
9,"Étudiant en master finance, HEC",,non,0.02,0.96,0
10,"Expert en automatisation IA pour les entreprises | n8n, Make, Zapier",Je construis vos automatisations. Audit gratuit de 30 min.,oui,0.96,0.92,0
