id,entreprise,objet_devis,montant_ht,anciennete_mois,historique,chances,chances_niveau,chances_confidence,chances_p_0,chances_p_1,chances_p_2,chances_p_3,chances_p_4,chances_legende,a_verifier
1,Nuvola,Prospection externalisée 6 mois,18000,4,"Devis envoyé le 12/05 après deux appels. Le 20/05 Claire répond : « on valide le budget au CODIR de septembre, revenez vers moi début septembre ». Relance le 02/09 : pas encore de réponse.",3.38,4,0.48,0.0,0.03,0.03,0.45,0.49,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",1
2,Bellune Textile,Campagne emailing 3 mois,6500,14,"Devis envoyé en juillet 2025. Le DAF a répondu : « nous avons retenu une agence lilloise, merci pour votre travail ». Aucun échange depuis.",0.03,0,0.98,0.99,0.01,0.0,0.0,0.0,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",0
3,Vertigo Robotics,SDR externalisé 12 mois,42000,9,Trois relances sans réponse après la démo. Le Head of Sales avait trouvé ça « très intéressant » en réunion. Silence complet depuis janvier.,1.57,2,0.64,0.0,0.42,0.58,0.0,0.0,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",1
4,Groupe Aléa,Séquences LinkedIn et email,9800,2,Le directeur commercial a trouvé le prix trop élevé pour une première mission : « on repartirait sur 5 000 maximum ». Aucune suite donnée de notre côté.,1.92,2,0.9,0.03,0.04,0.92,0.01,0.0,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",0
5,Lumen Énergie,Prospection industriels Sud-Ouest,24000,7,"Le dirigeant voulait attendre le recrutement d'un chef de projet, prévu pour la rentrée. Hier il a ouvert notre email de relance et visité la page tarifs du site.",3.91,4,0.92,0.0,0.0,0.01,0.06,0.93,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",0
6,Corvus Avocats,Prospection directions juridiques,12000,22,"Devis envoyé en novembre 2024. L'associée n'a jamais répondu, deux relances sans retour. Son associé cofondateur a quitté le cabinet en 2025.",0.88,1,0.83,0.16,0.82,0.01,0.0,0.01,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",0
7,Atelier Maud,Site e-commerce et campagne de lancement,4500,11,La fondatrice a répondu : « merci mais on arrête l'activité en fin d'année ». La boutique est fermée depuis.,0.05,0,0.96,0.99,0.0,0.0,0.01,0.0,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",0
8,Martin Technologies,Veille appels d'offres et prospection,30000,5,"Le directeur BU était très favorable, la décision devait passer au COMEX de juin. En juin il écrit : « reporté à l'exercice suivant, budget bloqué ». Leur exercice commence en octobre.",2.96,3,0.85,0.01,0.02,0.03,0.87,0.07,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",0
9,Menuiserie Bertrand & Fils,Prospection architectes,3800,3,"Le gérant a dit qu'il réfléchissait, puis silence. Deux relances par SMS sans réponse. Il a aimé notre post LinkedIn la semaine dernière.",2.87,4,0.06,0.0,0.1,0.4,0.02,0.48,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",1
10,PayFit,Audit des process outbound,15000,6,"Le VP Sales a répondu : « merci, nous internalisons tout, inutile de revenir vers nous ».",0.03,0,0.98,0.98,0.01,0.01,0.0,0.0,"0: 0, dead: the prospect said no clearly, chose a competitor, closed or was acquired, asked not to be contacted, or the contact left and nobody replaced them. | 1: 1, cold: silence after the quote and the follow-ups, no reason given, or a quote older than 18 months with no interaction since. | 2: 2, lukewarm: the prospect showed interest then went quiet, refused on price without choosing anyone else, or said 'not now' without a date. | 3: 3, warm: the prospect gave a reason that can change (budget next year, waiting for a decision, project postponed to a stated period) and that period is now reached or close. | 4: 4, hot: the prospect asked to be recontacted at a date that has come, the blocking reason is gone (new budget, new manager, competitor contract ending), or there was a recent interaction (reply, meeting request, page visit, new request) after the quote went quiet.",0
