id,brouillon
1,Fier d'annoncer que Nuvola a été sélectionnée parmi les 100 startups les plus prometteuses de la région ! Merci à toute l'équipe pour ce travail incroyable. #startup #export #PME #innovation #fierté
2,"Quelques réflexions sur la prospection en 2026. Le marché a changé. Les acheteurs sont plus informés, plus sollicités et plus exigeants. Il faut donc être plus pertinent, plus humain et plus régulier. C'est ce que nous essayons de faire chaque jour chez Groupe Aléa."
3,"On a mis 4 mois à recruter notre premier SDR chez Vertigo Robotics.

Entre l'annonce, les entretiens et la période d'essai, l'équipe commerciale a tourné sans rendez-vous nouveaux tout le printemps.

Depuis septembre il est en place et prend 12 rendez-vous par mois.

Recruter tôt, c'est important."
4,"12 000 commentaires, 0,17 $ et un après-midi.

C'est ce que ça a coûté pour savoir qui, sous nos posts, dirige une PME et qui vend du conseil aux dirigeants.

Avant, un stagiaire y passait deux jours par mois et se trompait une fois sur cinq.

On a donné les titres LinkedIn à un petit modèle de décision, avec quatre cases et une question fermée.

80 % d'accord avec un humain. Les 20 % restants sont les cas où l'humain hésitait aussi.

Vous faites comment aujourd'hui pour trier vos commentaires ?"
5,"On a résilié notre outil d'emailing à 400 € par mois pour revenir à un tableur.

En trois mois, le taux de réponse est passé de 2,1 % à 6,4 %.

La raison tient en une ligne : on envoyait 800 emails par semaine à des gens qui ne nous ressemblaient pas.

Avec le tableur, chaque ligne est relue par un humain avant de partir. 80 emails par semaine. 5 rendez-vous.

Le volume masquait le problème.

Si vous voulez la grille de relecture qu'on utilise, commentez « grille » et je vous l'envoie."
6,"Nous sommes heureux de vous informer que Bellune Textile sera présent au salon Première Vision du 16 au 18 septembre, stand 4B12. Venez nombreux découvrir nos nouveautés."
7,"La confiance, ça se construit. Dans la vente comme ailleurs, tout part de la relation. Un client qui vous fait confiance vous rappelle, vous recommande et vous pardonne une erreur. Prenez le temps de la construire."
8,"Hier, un prospect m'a dit non au bout de 40 secondes.

J'avais appelé Lumen Énergie sans avoir regardé leur site : ils ne vendent qu'aux industriels et je parlais de particuliers.

Depuis, je passe cinq minutes sur chaque site avant d'appeler.

Cinq minutes qui changent tout."
9,"On a perdu 2 marchés publics par trimestre pendant un an sans le savoir.

Chez Martin Technologies, la veille des appels d'offres reposait sur une personne qui lisait le BOAMP le lundi matin. Quand elle est partie en congé maternité, personne n'a repris.

Résultat : 8 appels d'offres ratés, environ 1,2 M€ de chiffre d'affaires.

On a branché une alerte automatique en une après-midi.

Quelle tâche critique repose sur une seule personne chez vous ?"
10,"Le lead magnet, un levier trop peu utilisé ? Dans cet article je reviens sur les 5 raisons d'en créer un, les 3 formats qui marchent et les erreurs à éviter. Lien en commentaire. #marketing #B2B #leadgen"
