id,auteur_headline,commentaire
1,CEO @ Nuvola,"JEV ! On est justement en train de reclasser 3 000 contacts dans HubSpot, curieux de voir ce que ça donne."
2,Étudiant en école de commerce,Super post 🔥
3,Consultant outbound indépendant,JEV
4,"Directrice marketing, Groupe Aléa","On a testé un classifieur maison sur nos réponses de campagne, 70 % de bonnes réponses, on cherche mieux. Intéressée."
5,,Merci pour le partage
6,Head of Sales @ Vertigo Robotics,Je veux bien le guide. On a un problème de dédoublonnage entre notre CRM et Sales Nav depuis des mois.
7,Product Manager,@Julie regarde ça
8,"Fondateur, Corvus Avocats","Pas convaincu, un modèle qui ne sait pas écrire ne peut pas comprendre un intitulé juridique."
9,Freelance growth,"JEV s'il te plaît, j'ai 12 000 commentaires à profiler pour un client."
10,"Gérant, Menuiserie Bertrand & Fils","On vient de recruter un commercial, on n'a pas de CRM, par où on commence ?"
