id,entreprise,note,intention_achat,intention_achat_p_oui,intention_achat_confidence,urgence,urgence_p_oui,urgence_confidence,interet_produit,interet_produit_p_oui,interet_produit_confidence,a_verifier
1,Nuvola,"Call de 30 min avec Claire (CEO). Ils recrutent un 2e commercial en janvier et veulent externaliser la prise de rendez-vous d'ici là. Budget validé en CODIR, 3 k€ par mois maximum. Elle a demandé des références dans le SaaS et une proposition pour la semaine prochaine.",oui,0.97,0.94,oui,0.96,0.92,oui,0.91,0.82,0
2,Bellune Textile,"Échange avec le DAF, très poli mais peu concerné. Aucun projet commercial en cours, ils vendent uniquement sur salon. À recontacter dans un an peut-être.",non,0.02,0.96,non,0.04,0.92,non,0.04,0.92,0
3,Vertigo Robotics,"Le Head of Sales est curieux : il a posé beaucoup de questions sur l'intégration HubSpot et sur le prix. Aucun projet identifié, il compare pour sa culture générale.",non,0.06,0.88,non,0.03,0.94,oui,0.92,0.84,0
4,Groupe Aléa,"Leur prestataire actuel arrête fin novembre, ils doivent avoir une solution en place le 1er décembre. Le directeur commercial veut une démo jeudi et une grille tarifaire avant.",oui,0.94,0.88,oui,0.98,0.96,oui,0.89,0.78,0
5,Lumen Énergie,"Prise de contact au salon. Le dirigeant m'a dit que la prospection serait un sujet « un jour », mais que la priorité du moment est le recrutement d'un chef de projet. Rien d'autre.",non,0.04,0.92,non,0.18,0.64,non,0.03,0.94,0
6,Corvus Avocats,"L'associée veut développer l'activité auprès des ETI. Elle a demandé comment on prospecte des directions juridiques sans abîmer l'image du cabinet. Elle attend le retour de son associé, décision au prochain comité en octobre.",oui,0.69,0.38,oui,0.86,0.72,non,0.17,0.66,1
7,Atelier Maud,"Elle a écouté, a trouvé ça intéressant mais ils vendent surtout aux particuliers. Pas de suite prévue.",non,0.03,0.94,non,0.04,0.92,non,0.27,0.46,1
8,Martin Technologies,La BU secteur public perd des appels d'offres faute de veille : le directeur BU estime la perte à deux marchés par trimestre. Il veut qu'on chiffre une veille plus prospection sur les collectivités. Aucune date fixée mais il pousse en interne.,oui,0.71,0.42,oui,0.85,0.7,non,0.14,0.72,1
9,Menuiserie Bertrand & Fils,Le gérant a rappelé après mon email. Il n'a pas de commercial et perd le fil des devis. Il demande combien ça coûte et si on sait faire du B2C. Rien d'engagé.,non,0.18,0.64,oui,0.6,0.2,oui,0.87,0.74,1
10,PayFit,"Rendez-vous avec le VP Sales. Ils ont déjà 25 SDR en interne, aucune intention d'externaliser. Il m'a demandé le détail de nos process pour comparer avec les siens.",non,0.26,0.48,non,0.06,0.88,oui,0.51,0.02,1
