id,etape,dernier_echange,jours_depuis,urgence,urgence_niveau,urgence_confidence,urgence_p_0,urgence_p_1,urgence_p_2,urgence_p_3,urgence_legende,a_verifier
1,Proposition envoyée,Nous avons envoyé le devis à 6 000 € le 4 septembre ; aucune réponse de Claire Dumont (Nuvola) depuis.,18,2.97,3,0.97,0.0,0.0,0.02,0.98,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
2,Rendez-vous pris,Julien Barre (Vertigo Robotics) a confirmé le rendez-vous du 25 septembre et demandé l'ordre du jour ; nous ne l'avons pas encore envoyé.,2,2.93,3,0.93,0.01,0.02,0.01,0.96,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
3,Perdu,Marc Bellune a choisi un autre prestataire et nous remercie pour le temps passé.,30,0.0,0,1.0,1.0,0.0,0.0,0.0,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
4,Premier contact,"Nous avons envoyé le premier email de la séquence à Sophie Lang (Corvus Avocats), pas de réponse.",3,1.0,1,0.99,0.0,1.0,0.0,0.0,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
5,Intéressé,"Paul Martin (Groupe Aléa) a répondu 'intéressant, laissez-moi y réfléchir', sans donner de date.",9,1.98,2,0.96,0.0,0.02,0.97,0.01,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
6,Reporté,"Ana Ribeiro nous a demandé de revenir vers elle en janvier, après la clôture de leur exercice.",40,1.0,0,0.0,0.66,0.01,0.01,0.32,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",1
7,Qualification,"Réponse automatique : absente jusqu'au 29 septembre, contacter l'accueil en cas d'urgence.",4,0.98,1,0.95,0.04,0.94,0.01,0.01,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
8,Intéressé,Nadia Ferreira (Lumen Énergie) a demandé une étude de cas dans son secteur ; nous avons dit oui et rien envoyé.,6,2.98,3,0.98,0.0,0.0,0.02,0.98,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
9,Gagné,"Contrat signé avec Martin Technologies, démarrage le 1er octobre.",5,0.13,0,0.87,0.93,0.02,0.02,0.03,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
10,Intéressé,Appel découverte fait avec Karim Benali (Habitat Rive Gauche) ; il devait nous transmettre les chiffres de son équipe et n'a rien envoyé.,12,2.02,2,0.98,0.0,0.0,0.98,0.02,"0: 0, none: the deal is closed (won or lost), the contact asked to stop or said a clear no, or they set a date to come back that has not arrived yet. | 1: 1, low: the last message is ours and was sent fewer than 5 days ago, the contact is lukewarm, or the last exchange is an out of office; waiting is fine. | 2: 2, medium: the contact showed interest and has been silent for 5 to 15 days, a proposal or a document we sent has no answer after a week, or the contact said 'let me think' with no date. | 3: 3, high: we owe the contact something (a proposal, a call slot, a document, an answer to a question) and it is still pending; a hot contact has been silent for more than 15 days; a meeting or a deadline falls within the next few days and is unconfirmed.",0
