id,entreprise,note
1,Nuvola,"Call de 30 min avec Claire (CEO). Ils recrutent un 2e commercial en janvier et veulent externaliser la prise de rendez-vous d'ici là. Budget validé en CODIR, 3 k€ par mois maximum. Elle a demandé des références dans le SaaS et une proposition pour la semaine prochaine."
2,Bellune Textile,"Échange avec le DAF, très poli mais peu concerné. Aucun projet commercial en cours, ils vendent uniquement sur salon. À recontacter dans un an peut-être."
3,Vertigo Robotics,"Le Head of Sales est curieux : il a posé beaucoup de questions sur l'intégration HubSpot et sur le prix. Aucun projet identifié, il compare pour sa culture générale."
4,Groupe Aléa,"Leur prestataire actuel arrête fin novembre, ils doivent avoir une solution en place le 1er décembre. Le directeur commercial veut une démo jeudi et une grille tarifaire avant."
5,Lumen Énergie,"Prise de contact au salon. Le dirigeant m'a dit que la prospection serait un sujet « un jour », mais que la priorité du moment est le recrutement d'un chef de projet. Rien d'autre."
6,Corvus Avocats,"L'associée veut développer l'activité auprès des ETI. Elle a demandé comment on prospecte des directions juridiques sans abîmer l'image du cabinet. Elle attend le retour de son associé, décision au prochain comité en octobre."
7,Atelier Maud,"Elle a écouté, a trouvé ça intéressant mais ils vendent surtout aux particuliers. Pas de suite prévue."
8,Martin Technologies,La BU secteur public perd des appels d'offres faute de veille : le directeur BU estime la perte à deux marchés par trimestre. Il veut qu'on chiffre une veille plus prospection sur les collectivités. Aucune date fixée mais il pousse en interne.
9,Menuiserie Bertrand & Fils,Le gérant a rappelé après mon email. Il n'a pas de commercial et perd le fil des devis. Il demande combien ça coûte et si on sait faire du B2C. Rien d'engagé.
10,PayFit,"Rendez-vous avec le VP Sales. Ils ont déjà 25 SDR en interne, aucune intention d'externaliser. Il m'a demandé le détail de nos process pour comparer avec les siens."
