id,linkedin_headline,about
1,J'accompagne les dirigeants de PME dans leur stratégie commerciale | Coach & consultant,"15 ans de direction commerciale, j'aide aujourd'hui les CEO de PME à structurer leurs ventes. Prenons rendez-vous."
2,CEO @ Vertigo Robotics,"Nous concevons des robots de tri pour la logistique. 40 personnes, Nantes."
3,Growth partner | Lead gen B2B pour les scale-ups,Agence de prospection externalisée. +200 clients accompagnés.
4,Directeur des opérations chez Bellune Textile,"Industrie textile, 120 salariés, basé à Roubaix."
5,Fractional CMO pour les SaaS early stage,Je prends la direction marketing à temps partiel de 2 à 3 startups.
6,Product Manager @ Doctolib,
7,"Fondatrice, Atelier Maud (bijoux artisanaux)","Créations en argent recyclé, vente en ligne et en boutique."
8,Recruteur indépendant | Profils tech et sales pour les startups,Je trouve vos prochains talents en 3 semaines.
9,"Étudiant en master finance, HEC",
10,"Expert en automatisation IA pour les entreprises | n8n, Make, Zapier",Je construis vos automatisations. Audit gratuit de 30 min.
