id,objet,message,service,service_confidence,service_p_support,service_p_spam,service_p_facturation,service_p_autre,service_p_vente,a_verifier
1,Demande de tarif,"Bonjour, nous sommes une PME de 45 personnes dans la métallurgie et nous cherchons un outil de suivi des dossiers export. Pouvez-vous m'envoyer vos tarifs et me proposer une démo ?",vente,1.0,0.0,0.0,0.0,0.0,1.0,0
2,Impossible de me connecter,"Depuis ce matin j'ai le message « session expirée » à chaque connexion, même après avoir changé mon mot de passe. Mes collègues n'ont pas le problème. Pouvez-vous regarder ?",support,1.0,1.0,0.0,0.0,0.0,0.0,0
3,Facture NV-2026-0412,Nous avons reçu la facture NV-2026-0412 mais elle ne mentionne pas notre numéro de bon de commande. Merci de la rééditer avec la référence PO-88213 pour que la comptabilité puisse la régler.,facturation,1.0,0.0,0.0,1.0,0.0,0.0,0
4,Boost your website ranking,"Hi, I checked your website and found 37 SEO issues. Our team can fix them for $299. Reply YES to get a free audit today.",spam,0.96,0.0,0.97,0.0,0.0,0.03,0
5,Candidature spontanée,"Bonjour, développeuse full-stack avec 5 ans d'expérience, je souhaite rejoindre votre équipe technique. Vous trouverez mon CV et mon portfolio en pièce jointe.",autre,1.0,0.0,0.0,0.0,1.0,0.0,0
6,Résiliation,Nous ne renouvellerons pas notre abonnement à l'échéance du 31 décembre. Merci de me confirmer la date de fin et de ne pas prélever la période suivante.,facturation,1.0,0.0,0.0,1.0,0.0,0.0,0
7,Export Excel,"L'export Excel plante depuis la mise à jour de lundi, le fichier sort vide. Au passage, est-ce que l'offre Entreprise inclut l'API ? On pourrait passer dessus.",support,1.0,1.0,0.0,0.0,0.0,0.0,0
8,Question avant de signer,Nous hésitons entre votre offre Pro et votre offre Entreprise. Est-ce que l'offre Pro permet de gérer plusieurs entités juridiques ? Nous en avons trois.,vente,1.0,0.0,0.0,0.0,0.0,1.0,0
9,Demande d'interview,"Bonjour, je suis journaliste pour un média spécialisé sur l'export. Je prépare un dossier sur les outils de gestion douanière et j'aimerais échanger avec l'un de vos fondateurs.",autre,1.0,0.0,0.0,0.0,1.0,0.0,0
10,Votre colis est en attente,"Votre colis n'a pas pu être livré. Confirmez votre adresse et réglez 1,99 € de frais de réexpédition en cliquant ici : http://livraison-suivi-colis.top/verif",spam,0.99,0.01,0.99,0.0,0.0,0.0,0
