id,dernier_message
1,"Merci de me retirer de votre liste de diffusion, je ne souhaite plus recevoir vos emails."
2,"Pas intéressé pour le moment, mais recontactez-moi au printemps, on aura peut-être un budget."
3,STOP
4,"C'est le troisième message en deux semaines. Arrêtez, s'il vous plaît."
5,"Je ne suis plus en charge de ce sujet, adressez-vous à Thomas Delmas, notre directeur commercial."
6,"Je suis absente jusqu'au 4 octobre. Pour toute urgence, contactez accueil@nuvola.fr."
7,Non merci.
8,Je vous rappelle que le démarchage sans consentement est encadré par le RGPD. Supprimez mes données et ne m'écrivez plus.
9,"J'ai quitté Bellune Textile en juin, merci de mettre vos fichiers à jour."
10,"Merci mais on n'a pas besoin, inutile de relancer."
