id,brouillon,note,note_niveau,note_confidence,note_p_1,note_p_2,note_p_3,note_p_4,note_p_5,note_legende,a_verifier
1,Fier d'annoncer que Nuvola a été sélectionnée parmi les 100 startups les plus prometteuses de la région ! Merci à toute l'équipe pour ce travail incroyable. #startup #export #PME #innovation #fierté,1.1,1,0.92,0.93,0.04,0.02,0.0,0.0,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
2,"Quelques réflexions sur la prospection en 2026. Le marché a changé. Les acheteurs sont plus informés, plus sollicités et plus exigeants. Il faut donc être plus pertinent, plus humain et plus régulier. C'est ce que nous essayons de faire chaque jour chez Groupe Aléa.",2.06,2,0.79,0.1,0.75,0.15,0.0,0.0,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
3,"On a mis 4 mois à recruter notre premier SDR chez Vertigo Robotics.

Entre l'annonce, les entretiens et la période d'essai, l'équipe commerciale a tourné sans rendez-vous nouveaux tout le printemps.

Depuis septembre il est en place et prend 12 rendez-vous par mois.

Recruter tôt, c'est important.",3.62,4,0.68,0.0,0.01,0.37,0.62,0.0,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
4,"12 000 commentaires, 0,17 $ et un après-midi.

C'est ce que ça a coûté pour savoir qui, sous nos posts, dirige une PME et qui vend du conseil aux dirigeants.

Avant, un stagiaire y passait deux jours par mois et se trompait une fois sur cinq.

On a donné les titres LinkedIn à un petit modèle de décision, avec quatre cases et une question fermée.

80 % d'accord avec un humain. Les 20 % restants sont les cas où l'humain hésitait aussi.

Vous faites comment aujourd'hui pour trier vos commentaires ?",4.55,5,0.62,0.0,0.0,0.0,0.44,0.56,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
5,"On a résilié notre outil d'emailing à 400 € par mois pour revenir à un tableur.

En trois mois, le taux de réponse est passé de 2,1 % à 6,4 %.

La raison tient en une ligne : on envoyait 800 emails par semaine à des gens qui ne nous ressemblaient pas.

Avec le tableur, chaque ligne est relue par un humain avant de partir. 80 emails par semaine. 5 rendez-vous.

Le volume masquait le problème.

Si vous voulez la grille de relecture qu'on utilise, commentez « grille » et je vous l'envoie.",4.96,5,0.97,0.0,0.0,0.0,0.02,0.98,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
6,"Nous sommes heureux de vous informer que Bellune Textile sera présent au salon Première Vision du 16 au 18 septembre, stand 4B12. Venez nombreux découvrir nos nouveautés.",1.2,1,0.84,0.88,0.06,0.06,0.0,0.0,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
7,"La confiance, ça se construit. Dans la vente comme ailleurs, tout part de la relation. Un client qui vous fait confiance vous rappelle, vous recommande et vous pardonne une erreur. Prenez le temps de la construire.",1.89,2,0.87,0.13,0.85,0.02,0.0,0.0,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
8,"Hier, un prospect m'a dit non au bout de 40 secondes.

J'avais appelé Lumen Énergie sans avoir regardé leur site : ils ne vendent qu'aux industriels et je parlais de particuliers.

Depuis, je passe cinq minutes sur chaque site avant d'appeler.

Cinq minutes qui changent tout.",3.92,4,0.93,0.0,0.0,0.07,0.93,0.0,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
9,"On a perdu 2 marchés publics par trimestre pendant un an sans le savoir.

Chez Martin Technologies, la veille des appels d'offres reposait sur une personne qui lisait le BOAMP le lundi matin. Quand elle est partie en congé maternité, personne n'a repris.

Résultat : 8 appels d'offres ratés, environ 1,2 M€ de chiffre d'affaires.

On a branché une alerte automatique en une après-midi.

Quelle tâche critique repose sur une seule personne chez vous ?",4.35,4,0.69,0.0,0.0,0.0,0.64,0.36,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
10,"Le lead magnet, un levier trop peu utilisé ? Dans cet article je reviens sur les 5 raisons d'en créer un, les 3 formats qui marchent et les erreurs à éviter. Lien en commentaire. #marketing #B2B #leadgen",2.66,3,0.61,0.01,0.39,0.54,0.06,0.0,"1: 1, weak: opens with an announcement or a platitude ('Fier d'annoncer', 'Aujourd'hui je voulais partager'), generic advice with no detail, a wall of text or a pile of hashtags, or a corporate message with no person behind it. | 2: 2, below average: a real subject but a flat first line that could top any post, lessons stated in the abstract with no figure or scene, several ideas mixed, or a long text without structure. | 3: 3, average: the first line says what the post is about, one idea, at least one concrete detail (a figure, a name, a date), readable paragraphs, but an ending that trails off or repeats the point. | 4: 4, good: a first line that creates a gap (a result, a contradiction, an unexpected figure), a story or a precise example with figures, one idea carried to the end, short paragraphs, and an ending that asks a question or hands a takeaway. | 5: 5, excellent: everything in 4 plus a counterintuitive angle in the first two lines, a specific outcome with figures and a timeframe, a spoken voice with sentences of varied length, and a clear invitation to comment or a resource offered.",0
