id,post_sujet,auteur_headline,fil
1,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,CEO @ Nuvola,"On est exactement là. 2 commerciaux, aucun SDR, et on hésite entre recruter et externaliser. Comment vous choisiriez à notre taille ?"
2,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Étudiant en école de commerce,Super post 🔥
3,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Consultant outbound indépendant,"Totalement d'accord, je le dis à mes clients depuis des années. D'ailleurs j'ai écrit un guide complet là-dessus, lien en commentaire."
4,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,"Directrice commerciale, Groupe Aléa","Chez nous on a fait le calcul : 62 k€ chargés la première année pour 8 rendez-vous par mois. On garde le poste, mais la montée en charge a été plus longue que prévu.
Nous : Merci Claire, 8 rendez-vous par mois c'est plutôt dans le haut. Vous mesurez le coût par rendez-vous qualifié ?
Claire : Oui, autour de 650 €, on vise 450 d'ici mars."
5,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Product Manager,@Julien regarde ça
6,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Head of Sales @ Vertigo Robotics,"Question bête : vous comptez les outils dans le coût ? Chez nous Sales Navigator plus le séquenceur, ça fait 400 € par mois et par tête."
7,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,"Gérant, Menuiserie Bertrand & Fils","Merci, très clair.
Nous : Avec plaisir !
Gérant : 👍"
8,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,Freelance growth,Vous avez une source pour le chiffre de 45 k€ ? Ça me paraît bas pour Paris.
9,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,"Fondateur, Corvus Avocats","Je reste sceptique. Un SDR interne connaît le cabinet, une agence non. J'ai eu deux mauvaises expériences avec des prestataires."
10,Ce que coûte vraiment un SDR interne dans une PME de 30 personnes,"Responsable marketing, Lumen Énergie","Très intéressant, je transmets à mon DG qui se pose justement la question."
