id,dernier_message,veut_arreter,veut_arreter_p_oui,veut_arreter_confidence,a_verifier
1,"Merci de me retirer de votre liste de diffusion, je ne souhaite plus recevoir vos emails.",oui,0.99,0.98,0
2,"Pas intéressé pour le moment, mais recontactez-moi au printemps, on aura peut-être un budget.",non,0.03,0.94,0
3,STOP,oui,0.98,0.96,0
4,"C'est le troisième message en deux semaines. Arrêtez, s'il vous plaît.",oui,0.98,0.96,0
5,"Je ne suis plus en charge de ce sujet, adressez-vous à Thomas Delmas, notre directeur commercial.",non,0.02,0.96,0
6,"Je suis absente jusqu'au 4 octobre. Pour toute urgence, contactez accueil@nuvola.fr.",non,0.02,0.96,0
7,Non merci.,non,0.04,0.92,0
8,Je vous rappelle que le démarchage sans consentement est encadré par le RGPD. Supprimez mes données et ne m'écrivez plus.,oui,0.99,0.98,0
9,"J'ai quitté Bellune Textile en juin, merci de mettre vos fichiers à jour.",non,0.06,0.88,0
10,"Merci mais on n'a pas besoin, inutile de relancer.",oui,0.66,0.32,1
