id,compte,etape,situation
1,Nuvola,nouveau,"Directeur général identifié, email vérifié par l'outil, aucun message envoyé. Offre d'emploi SDR publiée le 18/09."
2,Bellune Textile,nouveau,"Responsable marketing identifiée, pas de connexion LinkedIn, aucun email trouvé."
3,Vertigo Robotics,contacte,"Email 1 le 08/09, email 2 le 13/09, aucune ouverture, aucune réponse."
4,Lumen Énergie,engage,"Réponse le 20/09 : « intéressant, quel est votre tarif pour 800 comptes ? »"
5,Groupe Aléa,engage,"A liké deux posts et ouvert l'email 4 fois cette semaine, sans répondre."
6,Corvus Avocats,contacte,"Réponse le 19/09 : « revenez en janvier, on boucle l'exercice »."
7,Martin Technologies,engage,"Réponse le 21/09 : « on a déjà un prestataire et vos prix sont deux fois trop élevés, retirez-moi de vos listes »."
8,Atelier Maud,contacte,"Email 1 le 20/08, email 2 le 28/08, invitation LinkedIn le 05/09, email 3 le 12/09, aucune réaction."
9,Groupe Delorme Logistique,rdv_propose,"Rendez-vous du 17/09 annulé par le directeur des opérations, qui demande un autre créneau la semaine prochaine."
10,Maison Roussel,engage,"Réponse le 21/09 de l'assistante : le gérant est en congé jusqu'au 06/10, merci de le recontacter à son retour."
