id,url,mot_cle_cible,title,meta_description,h1,nb_mots,premier_paragraphe,correctif,correctif_confidence,correctif_p_reecrire_title,correctif_p_revoir_mot_cle,correctif_p_rien_a_corriger,correctif_p_reecrire_meta_description,correctif_p_etoffer_contenu,correctif_p_corriger_h1,a_verifier
1,https://www.nuvola.fr/logiciel-export-pme,logiciel export PME,Logiciel export PME : pilotez vos ventes internationales | Nuvola,"Nuvola est le logiciel export pensé pour les PME industrielles : devis, incoterms, documents douaniers et suivi des ventes dans un seul outil.",Le logiciel export des PME industrielles,1250,"Exporter quand on est une PME industrielle, c'est jongler entre les devis en devises, les incoterms et les documents douaniers. Nuvola réunit tout ça dans un logiciel export conçu pour des équipes de 5 à 50 personnes.",rien_a_corriger,0.73,0.03,0.0,0.78,0.09,0.0,0.1,0
2,https://www.vertigo-robotics.fr/robots-tri-logistique,robot de tri logistique,Accueil,absent,Nos robots de tri pour entrepôts,820,"Vertigo conçoit des robots de tri logistique capables de traiter 1 200 colis par heure, installés en trois jours sur une ligne existante.",reecrire_title,0.95,0.97,0.01,0.0,0.02,0.0,0.0,0
3,https://www.bellune-textile.fr/blog/histoire-tissage-roubaix,tissu ignifugé professionnel,L'histoire du tissage à Roubaix depuis 1921 | Bellune,"Retour sur un siècle de tissage à Roubaix, des premiers métiers à tisser à l'ennoblissement moderne, raconté par la famille Bellune.",Un siècle de tissage à Roubaix,1400,"En 1921, Marcel Bellune installe ses premiers métiers à tisser dans un ancien entrepôt de laine du quartier de l'Épeule.",revoir_mot_cle,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0
4,https://www.lumen-energie.fr/autoconsommation-industrielle,autoconsommation solaire industrielle,Autoconsommation solaire industrielle : réduire votre facture | Lumen Énergie,"Lumen Énergie installe des centrales solaires en autoconsommation sur les toitures industrielles. Étude gratuite, financement inclus.",Autoconsommation solaire pour les sites industriels,180,Produire votre propre électricité sur votre toiture pour couvrir jusqu'à 40 % de votre consommation industrielle.,etoffer_contenu,0.92,0.01,0.0,0.01,0.01,0.93,0.03,0
5,https://www.corvus-avocats.fr/droit-des-affaires,avocat droit des affaires Bordeaux,Avocat droit des affaires à Bordeaux | Corvus Avocats,"Corvus Avocats accompagne les PME et ETI de Bordeaux en droit des affaires : contrats, cessions, contentieux commercial.",Bienvenue,950,"Depuis 2009, notre cabinet d'avocats en droit des affaires conseille les dirigeants bordelais dans leurs contrats, leurs cessions et leurs litiges commerciaux.",corriger_h1,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0
6,https://www.groupe-alea.fr/assurance-flotte-automobile,assurance flotte automobile entreprise,Assurance flotte automobile entreprise : devis en 48 h | Groupe Aléa,Assurance flotte automobile entreprise : devis en 48 h | Groupe Aléa,Assurance flotte automobile pour les entreprises,1100,"Assurer une flotte de véhicules d'entreprise, c'est arbitrer entre franchise, tous risques et gestion des sinistres. Voici comment nous construisons votre contrat.",reecrire_meta_description,0.33,0.06,0.0,0.33,0.44,0.03,0.14,1
7,https://www.atelier-maud.fr/bijoux-comites-entreprise,cadeaux comité d'entreprise bijoux,Cadeaux CE : bijoux artisanaux pour vos salariés | Atelier Maud,Offrez des bijoux artisanaux à vos salariés.,Bijoux artisanaux pour les comités d'entreprise,640,"Un bijou fait main à Annecy comme cadeau de comité d'entreprise : personnalisable, livré sous quinze jours, à partir de 30 pièces.",reecrire_meta_description,0.41,0.08,0.0,0.22,0.51,0.08,0.11,1
8,https://www.martin-technologies.fr/infogerance-cloud,infogérance cloud PME,"Martin Technologies, ESN spécialisée dans le cloud, l'infogérance, la cybersécurité et la transformation numérique des ETI et PME en Île-de-France","Martin Technologies accompagne les PME dans l'infogérance de leur cloud : supervision 24 h sur 24, sauvegardes, support en français.",Infogérance cloud pour les PME,780,"Confier l'infogérance de votre cloud à une équipe qui répond en moins de 15 minutes, c'est ce que nous faisons pour 60 PME d'Île-de-France.",rien_a_corriger,0.39,0.4,0.0,0.5,0.07,0.01,0.02,1
9,https://www.nuvola.fr/blog/incoterms-2020,incoterms 2020 explication,Incoterms 2020 : les 11 règles expliquées simplement | Nuvola,"Les Incoterms 2020 expliqués un par un, avec un exemple pour chaque règle et le partage des coûts entre vendeur et acheteur.",Incoterms 2020 : ce qui change,290,Les Incoterms définissent qui paie quoi et qui porte le risque entre le départ de l'usine et l'arrivée chez le client. La version 2020 en compte onze.,etoffer_contenu,0.8,0.02,0.0,0.01,0.01,0.83,0.13,0
10,https://www.payfit.com/fr/logiciel-paie,logiciel de paie,Logiciel de paie en ligne pour PME | PayFit,"PayFit simplifie la paie et les RH des PME : bulletins automatisés, déclarations sociales, congés et notes de frais dans un seul outil.","La paie automatisée, enfin simple",2100,"Chaque mois, la paie mobilise vos équipes pendant plusieurs jours. PayFit automatise les bulletins, les déclarations et les variables pour que la paie se fasse en une heure.",corriger_h1,0.4,0.02,0.0,0.41,0.07,0.01,0.49,1
