id,titre_poste,entreprise,secteur,effectif,notes
1,CEO,Nuvola,Logiciel B2B,35,Vient de publier une offre de premier SDR (2 septembre). Utilise HubSpot et lemlist.
2,Développeur full-stack,Vertigo Robotics,Robotique industrielle,60,Aucune information commerciale. En poste depuis 2024.
3,Directrice commerciale,Groupe Aléa,Courtage en assurance B2B,180,"Pas de signal récent. Équipe de 6 commerciaux, cycle de vente long."
4,Gérant,Boulangerie Martin,Boulangerie,4,Aimerait plus de clients le lundi matin.
5,Fondatrice,Atelier Maud,Bijouterie (vente aux particuliers),2,Vend en boutique à Annecy et sur Etsy.
6,Chef de projet marketing,Lumen Énergie,Énergie solaire pour industriels,90,A commenté un post sur la prospection LinkedIn en août.
7,Managing Partner,Corvus Avocats,Cabinet d'avocats d'affaires,14,A demandé publiquement des recommandations de prestataire pour prospecter les directions juridiques des ETI.
8,Directeur général,Bellune Textile,Fabrication textile B2B,150,Levée de 3 M€ annoncée en juin pour ouvrir l'Allemagne ; recrute un responsable commercial export.
9,Head of Growth,Propulse Leads,Agence de génération de leads,12,Vend de la prospection externalisée aux startups.
10,CEO,Martin Technologies,ESN cloud,320,Vient de passer sur Attio ce mois-ci et branche un séquenceur derrière.
