id,message_envoye,reponse
1,"Bonjour Claire, je vous écris parce que Nuvola recrute un SDR : on aide les PME à monter leur machine outbound en 6 semaines. Un échange de 20 min cette semaine ?","Oui pourquoi pas, jeudi 15h ça vous va ?"
2,(même message),"Merci mais on est déjà équipés sur ce sujet avec une agence jusqu'à fin d'année, revenez vers moi en janvier."
3,(même message),"Je ne suis plus en charge de ce sujet, il faut voir avec Thomas Delmas, notre directeur commercial."
4,(même message),Merci de me retirer de votre liste.
5,(même message),"Je suis absent jusqu'au 30 septembre, je reviendrai vers vous à mon retour."
6,(même message),"Nous sommes une association, ça ne correspond pas du tout."
7,(même message),"Ça m'intéresse, vous pouvez m'envoyer une proposition avec les tarifs ?"
8,(même message),?
9,(même message),"Pas le bon moment, on refait le point après notre levée, sans doute au printemps."
10,(même message),"On a 3 personnes, on n'a pas besoin de SDR, merci."
